CATEGORY_CD|CATEGORY_NM|API_PATH|PARENT_CD|DEPTH_LEVEL|LAST_DEPTH_YN|COLLECTION_CYCLE|COLLECTION_TYPE
01000000000000|한국은행 경제통계 시스템(ECOS)||00000000000000|01|N||
01010000000000|금리 통계|INTEREST_RATE|01000000000000|02|N||
01010100000000|1.3.1. 한국은행 기준금리 및 여수신금리|722Y001|01010000000000|03|N||
01010101000000|한국은행기준금리(연%)|0101000|01010100000000|04|Y|Y,M|A
01010200000000|1.3.2.2. 시장금리(월,분기,년)|721Y001|01010000000000|03|N||
01010201000000|무담보콜금리(1일)|1010000|01010200000000|04|Y|M|A
01010202000000|담보콜금리(1일)|1030000|01010200000000|04|Y|M|A
01010203000000|국고채(1년)|5030000|01010200000000|04|Y|M|A
01010204000000|국고채(3년)|5020000|01010200000000|04|Y|M|A
01010205000000|국고채(5년)|5040000|01010200000000|04|Y|M|A
01020000000000|증권 통계|STOCK|01000000000000|02|N||
01020100000000|1.5.1.2. 주식시장(월,년)|901Y014|01020000000000|03|N||
01020101000000|KOSPI_종가|1070000|01020100000000|04|Y|Y,M|A
01020102000000|KOSPI_평균|1080000|01020100000000|04|Y|Y,M|A
01020103000000|KOSPI_거래량|1050000|01020100000000|04|Y|M|A
01020104000000|KOSPI_거래대금|1060000|01020100000000|04|Y|M|A
01020105000000|KOSDAQ_거래량|2050000|01020100000000|04|Y|M|A
01020106000000|KOSDAQ_거래대금|2060000|01020100000000|04|Y|M|A
01020107000000|KOSDAQ_종가|2090000|01020100000000|04|Y|M|A
01020108000000|KOSDAQ_평균|2100000|01020100000000|04|Y|M|A
01030000000000|성장률 통계|GROWTH_RATE|01000000000000|02|N||
01030100000000|2.7.1.1. 주요지표(연간지표)|200Y001|01030000000000|03|N||
01030101000000|국내총생산(실질성장률%)|20101|01030100000000|04|Y|Y|A
01030102000000|재화와서비스의수출(%)|30105|01030100000000|04|Y|Y|A
01030103000000|재화와서비스의수입(%)|30106|01030100000000|04|Y|Y|A
01040000000000|소득 통계|INCOME|01000000000000|02|N||
01040100000000|2.7.2.1.3. 경제활동별 GDP 및 GNI(원계열, 명목, 분기 및 연간)|200Y005|01040000000000|03|N||
01040101000000|국내총생산(시장가격GDP)|1400|01040100000000|04|Y|Y|A
01040200000000|2.7.1.1. 주요지표(연간지표)|200Y001|01040000000000|03|N||
01040201000000|1인당국민총소득(명목)|1010601|01040200000000|04|Y|Y|A
01050000000000|생산 통계|PRODUCTION|01000000000000|02|N||
01050100000000|8.3.1. 산업별 생산/출하/재고 지수|901Y032|01050000000000|03|N||
01050101000000|총지수|I11A|01050100000000|04|N||
01050101010000|생산지수(원)|1|01050101000000|05|Y|Y|A
01050101020000|출하지수(원)|3|01050101000000|05|Y|Y|A
01050101030000|재고지수(원)|5|01050101000000|05|Y|Y|A
01050102000000|제조업|I11AC|01050100000000|04|N||
01050102010000|생산지수(원)|1|01050102000000|05|Y|M|A
01050102020000|생산지수(계절)|2|01050102000000|05|Y|M|A
01050102030000|출하지수(원)|3|01050102000000|05|Y|M|A
01050102040000|출하지수(계절)|4|01050102000000|05|Y|M|A
01050102050000|재고지수(원)|5|01050102000000|05|Y|M|A
01050102060000|재고지수(계절)|6|01050102000000|05|Y|M|A
01050200000000|8.1.4. 전산업생산지수(농림어업제외)|901Y033|01050000000000|03|N||
01050201000000|전산업생산지수(농림어업 제외)|A00|01050200000000|04|N||
01050201010000|원계열|1|01050201000000|05|Y|M|A
01050201020000|계절조정|2|01050201000000|05|Y|M|A
01050300000000|8.3.6. 제조업 생산능력 및 가동률 지수|901Y035|01050000000000|03|N||
01050301000000|제조업|I32A|01050300000000|04|N||
01050301010000|가동률지수(원)|I11B|01050301000000|05|Y|Y,M|A
01050301020000|생산능력지수|I11A|01050301000000|05|Y|M|A
01050301030000|가동률지수(계절조정)|I11C|01050301000000|05|Y|M|A
01060000000000|경기 통계|ECONOMY|01000000000000|02|N||
01060100000000|8.3.3. 설비용 기계류 생산지수|901Y036|01060000000000|03|N||
01060101000000|기계설비류|10|01060100000000|04|N||
01060101010000|내수출하지수(원지수)|T13|01060101000000|05|Y|Y,M|A
01060101020000|내수출하지수(계절조정)|T23|01060101000000|05|Y|M|A
01060200000000|8.3.8. 기계수주액|901Y018|01060000000000|03|N||
01060201000000|국내수요|I351AA|01060200000000|04|Y|Y|A
01060202000000|국내수요(선박제외)|I35AAA|01060200000000|04|Y|M|A
01060300000000|8.5.2. 재별 및 상품군별 판매액지수|901Y100|01060000000000|03|N||
01060301000000|승용차|G11|01060300000000|04|N||
01060301010000|경상지수|T1|01060301000000|05|Y|Y,M|A
01060301020000|불변지수|T2|01060301000000|05|Y|Y,M|A
01060301030000|계절조정지수|T3|01060301000000|05|Y|M|A
01060400000000|8.1.3. 설비투자지수|901Y066|01060000000000|03|N||
01060401000000|원지수|I15A|01060400000000|04|Y|Y,M|A
01060402000000|계절조정지수|I15B|01060400000000|04|Y|M|A
01060500000000|8.4.1. 국내건설수주액|901Y020|01060000000000|03|N||
01060501000000|총수주액|I42A|01060500000000|04|Y|M|A
01060502000000|공공부문|I42AAA|01060500000000|04|Y|M|A
01060503000000|중앙정부|I42AAAA|01060500000000|04|Y|M|A
01060504000000|지방자치단체|I42AAAB|01060500000000|04|Y|M|A
01060505000000|공기업|I42AAAC|01060500000000|04|Y|M|A
01060506000000|기타공공단체|I42AAAD|01060500000000|04|Y|M|A
01060507000000|민간부문|I42AAB|01060500000000|04|Y|M|A
01060508000000|제조업|I42AABA|01060500000000|04|Y|M|A
01060509000000|비제조업|I42AABB|01060500000000|04|Y|M|A
01060510000000|국내외국기관|I42AAC|01060500000000|04|Y|M|A
01060511000000|민자|I42AAD|01060500000000|04|Y|M|A
01060512000000|건축|I42ABA|01060500000000|04|Y|M|A
01060513000000|주택|I42ABAA|01060500000000|04|Y|M|A
01060514000000|사무실 및 점포|I42ABAB|01060500000000|04|Y|M|A
01060515000000|공장 및 창고|I42ABAC|01060500000000|04|Y|M|A
01060516000000|관공서|I42ABAD|01060500000000|04|Y|M|A
01060517000000|기타|I42ABAE|01060500000000|04|Y|M|A
01060518000000|토목|I42ABB|01060500000000|04|Y|M|A
01060519000000|치산 및 치수|I42ABBA|01060500000000|04|Y|M|A
01060520000000|농림 및 수산|I42ABBB|01060500000000|04|Y|M|A
01060521000000|도로 및 교량|I42ABBC|01060500000000|04|Y|M|A
01060522000000|항만 및 공항|I42ABBD|01060500000000|04|Y|M|A
01060523000000|철도 및 궤도|I42ABBE|01060500000000|04|Y|M|A
01060524000000|상하수도|I42ABBF|01060500000000|04|Y|M|A
01060525000000|발전 및 송전|I42ABBG|01060500000000|04|Y|M|A
01060526000000|토지조성|I42ABBH|01060500000000|04|Y|M|A
01060527000000|조경공사|I42ABBL|01060500000000|04|Y|M|A
01060528000000|댐|I42ABBI|01060500000000|04|Y|Y,M|A
01060529000000|기계설치|I42ABBJ|01060500000000|04|Y|M|A
