CATEGORY_CD|CATEGORY_NM|API_PATH|PARENT_CD|DEPTH_LEVEL|LAST_DEPTH_YN|COLLECTION_CYCLE|COLLECTION_TYPE
02000000000000|S&P Global(IHS)||00000000000000|01|N||
02010000000000|GTAS Forecasting||02000000000000|02|N||
02010100000000|Airborne Metric Tons||02010000000000|03|N||
02010101000000|Animal Products||02010100000000|04|N||
02010101010000|Animal originated products||02010101000000|05|Y|Y,Q|C
02010101020000|Aquatic invertebrates, other||02010101000000|05|Y|Y,Q|C
02010101030000|Beef, fresh or chilled||02010101000000|05|Y|Y,Q|C
02010101040000|Beef, frozen||02010101000000|05|Y|Y,Q|C
02010101050000|Birds' eggs||02010101000000|05|Y|Y,Q|C
02010101060000|Butter and cheese||02010101000000|05|Y|Y,Q|C
02010101070000|Crustaceans, frozen||02010101000000|05|Y|Y,Q|C
02010101080000|Crustaceans, live fresh or chilled||02010101000000|05|Y|Y,Q|C
02010101090000|Crustaceans, n.e.s., fresh, chilled or frozen||02010101000000|05|Y|Y,Q|C
02010101100000|Dairy produce; birds' eggs; natural honey; edible products of animal origin, n.e.s.||02010101000000|05|Y|Y,Q|C
02010101110000|Edible offal of bovine animals, swine, sheep, goats, horses etc., fresh or chilled||02010101000000|05|Y|Y,Q|C
02010101120000|Edible offal of bovine animals, swine, sheep, goats, horses etc., frozen||02010101000000|05|Y|Y,Q|C
02010101130000|Fish and crustaceans, molluscs and other aquatic invertebrates, n.e.s.||02010101000000|05|Y|Y,Q|C
02010101140000|Fish and seafood, prepared or preserved||02010101000000|05|Y|Y,Q|C
02010101150000|Fish fillets and other fish meat (whether or not minced), fresh or chilled||02010101000000|05|Y|Y,Q|C
02010101160000|Fish fillets and other fish meat (whether or not minced), frozen||02010101000000|05|Y|Y,Q|C
02010101170000|Fish fillets and other fish meat (whether or not minced), n.e.s., fresh,  chilled or frozen||02010101000000|05|Y|Y,Q|C
02010101180000|Fish, dried, salted, smoked or in brine and fish meal fit for human consumption||02010101000000|05|Y|Y,Q|C
02010101190000|Fish, fresh or chilled, excluding fish fillets and other fish meat without bones||02010101000000|05|Y|Y,Q|C
02010101200000|Fish, frozen, excl. fish fillets or fish meat without bones||02010101000000|05|Y|Y,Q|C
02010101210000|Fish, live||02010101000000|05|Y|Y,Q|C
02010101220000|Ice cream and edible ice||02010101000000|05|Y|Y,Q|C
02010101230000|Live animals||02010101000000|05|Y|Y,Q|C
02010101240000|Meat and fish products, not for human consumption; animal food, etc.||02010101000000|05|Y|Y,Q|C
02010101250000|Meat of horses, asses, mules or hinnies, fresh, chilled or frozen||02010101000000|05|Y|Y,Q|C
02010101260000|Meat of sheep or goats n.e.s., fresh, chilled or frozen||02010101000000|05|Y|Y,Q|C
02010101270000|Meat of sheep or goats, fresh or chilled||02010101000000|05|Y|Y,Q|C
02010101280000|Meat of sheep or goats, frozen||02010101000000|05|Y|Y,Q|C
02010101290000|Meat, prepared or preserved||02010101000000|05|Y|Y,Q|C
02010101300000|Milk, concentrated and whey||02010101000000|05|Y|Y,Q|C
02010101310000|Milk, cream, buttermilk||02010101000000|05|Y|Y,Q|C
02010101320000|Molluscs||02010101000000|05|Y|Y,Q|C
02010101330000|Other meat and edible meat offal, fresh, chilled or frozen||02010101000000|05|Y|Y,Q|C
02010101340000|Pork frozen||02010101000000|05|Y|Y,Q|C
02010101350000|Pork n.e.s., fresh, chilled or frozen||02010101000000|05|Y|Y,Q|C
02010101360000|Pork, fresh or chilled||02010101000000|05|Y|Y,Q|C
02010101370000|Poultry meat and edible offal of poultry, fresh or chilled||02010101000000|05|Y|Y,Q|C
02010101380000|Poultry meat and edible offal of poultry, frozen||02010101000000|05|Y|Y,Q|C
02010101390000|Poultry meat and edible offal of poultry, n.e.c., fresh, chilled or frozen||02010101000000|05|Y|Y,Q|C
02010102000000|Beverages and Oils||02010100000000|04|N||
02010102010000|Animal and vegetable oils, excl. soybean oil||02010102000000|05|Y|Y,Q|C
02010102020000|Beer, cider, fermented beverages||02010102000000|05|Y|Y,Q|C
02010102030000|Beverages, spirits and vinegar, n.e.s.||02010102000000|05|Y|Y,Q|C
02010102040000|Grape alcoholic beverages, incl. wine||02010102000000|05|N||
02010102040100|2204 Wine of fresh grapes, including fortified wines; grape must (having an alcoholic strength by volume exceeding 0.5% vol.) nesoi||02010102040000|06|Y|Y,Q|C
02010102040200|2205 Vermouth and other wine of fresh grapes flavored with plants or aromatic substances||02010102040000|06|Y|Y,Q|C
02010102050000|Palm, coconut and palm kernel oil||02010102000000|05|Y|Y,Q|C
02010102060000|Soybean oil||02010102000000|05|Y|Y,Q|C
02010102070000|Spirits, liqueurs and other spirituous beverages||02010102000000|05|N||
02010102070100|2207 Ethyl alcohol, undenatured, of an alcoholic strength by volume of 80% vol. or higher; ethyl alcohol and other spirits, denatured, of any strength||02010102070000|06|Y|Y,Q|C
02010102070200|2208 Ethyl alcohol, undenatured, of an alcoholic strength by volume of under 80% vol.; spirits, liqueurs and other spirituous beverages||02010102070000|06|Y|Y,Q|C
02010102080000|Water, mineral and aerated water||02010102000000|05|N||
02010102080100|2201 Waters, including natural or artificial mineral waters and aerated waters, not containing added sweetening nor flavored; ice and snow||02010102080000|06|Y|Y,Q|C
02010102080200|2202 Waters, including mineral waters and aerated waters, containing added sweetening or flavored, and other nonalcoholic beverages nesoi||02010102080000|06|Y|Y,Q|C
02010103000000|Chemicals and Related Products||02010100000000|04|N||
02010103010000|Antibiotics||02010103000000|05|Y|Y,Q|C
02010103020000|Chemical elements||02010103000000|05|Y|Y,Q|C
02010103030000|Chemical products||02010103000000|05|Y|Y,Q|C
02010103040000|Dental hygiene, hair, and shaving preparations||02010103000000|05|Y|Y,Q|C
02010103050000|Essential oils, perfumes, and beauty preparations||02010103000000|05|Y|Y,Q|C
02010103060000|Fertilizers||02010103000000|05|N||
02010103060100|3100 Fertilizers, n.e.s.||02010103060000|06|Y|Y,Q|C
02010103060200|3101 Animal or vegetable fertilizers, including mixed or chemically treated; fertilizers made by mixing or chemically treating animal or vegetable products||02010103060000|06|Y|Y,Q|C
02010103060300|3102 Mineral or chemical fertilizers, nitrogenous||02010103060000|06|Y|Y,Q|C
02010103060400|3103 Mineral or chemical fertilizers, phosphatic||02010103060000|06|Y|Y,Q|C
02010103060500|3104 Mineral or chemical fertilizers, potassic||02010103060000|06|Y|Y,Q|C
02010103060600|3105 Mineral or chemical fertilizers with two of the three fertilizer elements; fertilizers nesoi; fertilizers in packs etc. not over 10 kg gross weight||02010103060000|06|Y|Y,Q|C
02010103070000|Inorganic chemical compounds||02010103000000|05|Y|Y,Q|C
02010103080000|Insecticides, rodenticides, fungicides, herbicides, antisprouting products||02010103000000|05|Y|Y,Q|C
02010103090000|Man-made staple fibres, n.e.s.||02010103000000|05|Y|Y,Q|C
02010103100000|Natural gums, lac, resins||02010103000000|05|Y|Y,Q|C
02010103110000|Natural rubber||02010103000000|05|Y|Y,Q|C
02010103120000|Organic chemicals||02010103000000|05|Y|Y,Q|C
02010103130000|Paint, varnishes, lacquers and inks||02010103000000|05|Y|Y,Q|C
02010103140000|Pharmaceutical goods||02010103000000|05|Y|Y,Q|C
02010103150000|Plastics and articles thereof||02010103000000|05|Y|Y,Q|C
02010103160000|Plastics in primary forms||02010103000000|05|Y|Y,Q|C
02010103170000|Rubber and articles thereof||02010103000000|05|Y|Y,Q|C
02010103180000|Rubber articles; waste and scrap of rubber||02010103000000|05|Y|Y,Q|C
02010103190000|Rubber tyres||02010103000000|05|Y|Y,Q|C
02010103200000|Soap and detergents||02010103000000|05|Y|Y,Q|C
02010103210000|Synthetic and artificial filament tow and staple fibres||02010103000000|05|Y|Y,Q|C
02010103220000|Synthetic and artificial filaments||02010103000000|05|Y|Y,Q|C
02010103230000|Waxes, polishes and creams, modeling pastes||02010103000000|05|Y|Y,Q|C
02010104000000|Computers, Office, Communications, and Professional Equipment||02010100000000|04|N||
02010104010000|Medical instruments, appliances and diagnostic apparatus||02010104000000|05|Y|Y,Q|C
