CATEGORY_CD|CATEGORY_NM|API_PATH|PARENT_CD|DEPTH_LEVEL|LAST_DEPTH_YN|COLLECTION_CYCLE|COLLECTION_TYPE
03000000000000|Clarksons(CLARKSONS)||00000000000000|01|N||
03010000000000|Earnings & Freight||03000000000000|02|N||
03010100000000|Spot Freight Rates||03010000000000|03|N||
03010101000000|Containerships||03010100000000|04|N||
03010101010000|Containerships General||03010101000000|05|N||
03010101010100|Container Freight Rates||03010101010000|06|N||
03010101010101|CCFI China-ANZ Container Freight Rate Index||03010101010100|07|Y|Y,Q,M|C
03010101010102|CCFI China-EC North America Container Freight Rate Index||03010101010100|07|Y|Y,Q,M|C
03010101010103|CCFI China-Europe Container Freight Rate Index||03010101010100|07|Y|Y,Q,M|C
03010101010104|CCFI China-Japan Container Freight Rate Index||03010101010100|07|Y|Y,Q,M|C
03010101010105|CCFI China-Korea Container Freight Rate Index||03010101010100|07|Y|Y,Q,M|C
03010101010106|CCFI China-Med Container Freight Rate Index||03010101010100|07|Y|Y,Q,M|C
03010101010107|CCFI China-P.Gulf/R.Sea Container Freight Rate Index||03010101010100|07|Y|Y,Q,M|C
03010101010108|CCFI China-S Africa Container Freight Rate Index||03010101010100|07|Y|Y,Q,M|C
03010101010109|CCFI China-S America Container Freight Rate Index||03010101010100|07|Y|Y,Q,M|C
03010101010110|CCFI China-SE Asia Container Freight Rate Index||03010101010100|07|Y|Y,Q,M|C
03010101010111|CCFI China-W/E Africa Container Freight Rate Index||03010101010100|07|Y|Y,Q,M|C
03010101010112|CCFI China-WC North America Container Freight Rate Index||03010101010100|07|Y|Y,Q,M|C
03010101010113|CCFI Composite Container Freight Rate Index||03010101010100|07|Y|Y,Q,M|C
03010101010114|Intra-Asia Container Freight Rate Index||03010101010100|07|Y|Y,Q,M|C
03010101010115|Mainlane Container Freight Rate Index||03010101010100|07|Y|Y,Q,M|C
03010101010116|North-South Container Freight Rate Index||03010101010100|07|Y|Y,Q,M|C
03010101010117|SCFI Comprehensive Container Freight Rate Index||03010101010100|07|Y|Y,Q,M|C
03010101010118|SCFI Shanghai-ANZ (Melbourne) Container Freight Rate||03010101010100|07|Y|Y,Q,M|C
03010101010119|SCFI Shanghai-E Japan (base port) Container Freight Rate||03010101010100|07|Y|Y,Q,M|C
03010101010120|SCFI Shanghai-EC America (base port) Container Freight Rate||03010101010100|07|Y|Y,Q,M|C
03010101010121|SCFI Shanghai-Europe (base port) Container Freight Rate||03010101010100|07|Y|Y,Q,M|C
03010101010122|SCFI Shanghai-Korea (Pusan) Container Freight Rate||03010101010100|07|Y|Y,Q,M|C
03010101010123|SCFI Shanghai-Med (base port) Container Freight Rate||03010101010100|07|Y|Y,Q,M|C
03010101010124|SCFI Shanghai-Persian Gulf (Dubai) Container Freight Rate||03010101010100|07|Y|Y,Q,M|C
03010101010125|SCFI Shanghai-S Africa (Durban) Container Freight Rate||03010101010100|07|Y|Y,Q,M|C
03010101010126|SCFI Shanghai-S America (Santos) Container Freight Rate||03010101010100|07|Y|Y,Q,M|C
03010101010127|SCFI Shanghai-SE Asia (Singapore) Container Freight Rate||03010101010100|07|Y|Y,Q,M|C
03010101010128|SCFI Shanghai-W Africa (Lagos) Container Freight Rate||03010101010100|07|Y|Y,Q,M|C
03010101010129|SCFI Shanghai-W Japan (base port) Container Freight Rate||03010101010100|07|Y|Y,Q,M|C
03010101010130|SCFI Shanghai-WC America (base port) Container Freight Rate||03010101010100|07|Y|Y,Q,M|C
03010101010131|XSI-C Far East-N.Europe Container Freight Rate||03010101010100|07|Y|Y,Q,M|C
03010101010132|XSI-C Far East-S.America EC Container Freight Rate||03010101010100|07|Y|Y,Q,M|C
03010101010133|XSI-C Far East-USWC Container Freight Rate||03010101010100|07|Y|Y,Q,M|C
03010101010134|XSI-C N.Europe - USEC Container Freight Rate||03010101010100|07|Y|Y,Q,M|C
03010101010135|XSI-C N.Europe-Far East Container Freight Rate||03010101010100|07|Y|Y,Q,M|C
