CATEGORY_CD|CATEGORY_NM|API_PATH|PARENT_CD|DEPTH_LEVEL|LAST_DEPTH_YN|COLLECTION_CYCLE|COLLECTION_TYPE
04000000000000|국가통계포털(KOSIS)||00000000000000|01|N||
04010000000000|시도/산업별 총괄(외식업/식품유통업 산업현황)||04000000000000|02|N||
04010100000000|강원도||04010000000000|03|N||
04010101000000|음·식료품 및 담배 도매업||04010100000000|04|N||
04010101010000|매출액||04010101000000|05|Y|Y|A
04010101020000|사업체수||04010101000000|05|Y|Y|A
04010101030000|종사자수||04010101000000|05|Y|Y|A
04010102000000|음ㆍ식료품 및 담배 도매업||04010100000000|04|N||
04010102010000|매출액||04010102000000|05|Y|Y|A
04010102020000|사업체수||04010102000000|05|Y|Y|A
04010102030000|종사자수||04010102000000|05|Y|Y|A
04010103000000|음식점업||04010100000000|04|N||
04010103010000|매출액||04010103000000|05|Y|Y|A
04010103020000|사업체수||04010103000000|05|Y|Y|A
04010103030000|종사자수||04010103000000|05|Y|Y|A
04010200000000|경기도||04010000000000|03|N||
04010201000000|음·식료품 및 담배 도매업||04010200000000|04|N||
04010201010000|매출액||04010201000000|05|Y|Y|A
04010201020000|사업체수||04010201000000|05|Y|Y|A
04010201030000|종사자수||04010201000000|05|Y|Y|A
04010202000000|음ㆍ식료품 및 담배 도매업||04010200000000|04|N||
04010202010000|매출액||04010202000000|05|Y|Y|A
04010202020000|사업체수||04010202000000|05|Y|Y|A
04010202030000|종사자수||04010202000000|05|Y|Y|A
04010203000000|음식점업||04010200000000|04|N||
04010203010000|매출액||04010203000000|05|Y|Y|A
04010203020000|사업체수||04010203000000|05|Y|Y|A
04010203030000|종사자수||04010203000000|05|Y|Y|A
04010300000000|경상남도||04010000000000|03|N||
04010301000000|음·식료품 및 담배 도매업||04010300000000|04|N||
04010301010000|매출액||04010301000000|05|Y|Y|A
04010301020000|사업체수||04010301000000|05|Y|Y|A
04010301030000|종사자수||04010301000000|05|Y|Y|A
04010302000000|음ㆍ식료품 및 담배 도매업||04010300000000|04|N||
04010302010000|매출액||04010302000000|05|Y|Y|A
04010302020000|사업체수||04010302000000|05|Y|Y|A
04010302030000|종사자수||04010302000000|05|Y|Y|A
04010303000000|음식점업||04010300000000|04|N||
04010303010000|매출액||04010303000000|05|Y|Y|A
04010303020000|사업체수||04010303000000|05|Y|Y|A
04010303030000|종사자수||04010303000000|05|Y|Y|A
04010400000000|경상북도||04010000000000|03|N||
04010401000000|음·식료품 및 담배 도매업||04010400000000|04|N||
04010401010000|매출액||04010401000000|05|Y|Y|A
04010401020000|사업체수||04010401000000|05|Y|Y|A
04010401030000|종사자수||04010401000000|05|Y|Y|A
04010402000000|음ㆍ식료품 및 담배 도매업||04010400000000|04|N||
04010402010000|매출액||04010402000000|05|Y|Y|A
04010402020000|사업체수||04010402000000|05|Y|Y|A
04010402030000|종사자수||04010402000000|05|Y|Y|A
04010403000000|음식점업||04010400000000|04|N||
04010403010000|매출액||04010403000000|05|Y|Y|A
04010403020000|사업체수||04010403000000|05|Y|Y|A
04010403030000|종사자수||04010403000000|05|Y|Y|A
04010500000000|광주광역시||04010000000000|03|N||
04010501000000|음·식료품 및 담배 도매업||04010500000000|04|N||
04010501010000|매출액||04010501000000|05|Y|Y|A
04010501020000|사업체수||04010501000000|05|Y|Y|A
04010501030000|종사자수||04010501000000|05|Y|Y|A
04010502000000|음ㆍ식료품 및 담배 도매업||04010500000000|04|N||
04010502010000|매출액||04010502000000|05|Y|Y|A
04010502020000|사업체수||04010502000000|05|Y|Y|A
04010502030000|종사자수||04010502000000|05|Y|Y|A
04010503000000|음식점업||04010500000000|04|N||
04010503010000|매출액||04010503000000|05|Y|Y|A
04010503020000|사업체수||04010503000000|05|Y|Y|A
04010503030000|종사자수||04010503000000|05|Y|Y|A
04010600000000|대구광역시||04010000000000|03|N||
04010601000000|음·식료품 및 담배 도매업||04010600000000|04|N||
04010601010000|매출액||04010601000000|05|Y|Y|A
04010601020000|사업체수||04010601000000|05|Y|Y|A
04010601030000|종사자수||04010601000000|05|Y|Y|A
04010602000000|음ㆍ식료품 및 담배 도매업||04010600000000|04|N||
04010602010000|매출액||04010602000000|05|Y|Y|A
04010602020000|사업체수||04010602000000|05|Y|Y|A
04010602030000|종사자수||04010602000000|05|Y|Y|A
04010603000000|음식점업||04010600000000|04|N||
04010603010000|매출액||04010603000000|05|Y|Y|A
04010603020000|사업체수||04010603000000|05|Y|Y|A
04010603030000|종사자수||04010603000000|05|Y|Y|A
04010700000000|대전광역시||04010000000000|03|N||
04010701000000|음·식료품 및 담배 도매업||04010700000000|04|N||
04010701010000|매출액||04010701000000|05|Y|Y|A
04010701020000|사업체수||04010701000000|05|Y|Y|A
04010701030000|종사자수||04010701000000|05|Y|Y|A
04010702000000|음ㆍ식료품 및 담배 도매업||04010700000000|04|N||
04010702010000|매출액||04010702000000|05|Y|Y|A
