CATEGORY_CD|CATEGORY_NM|API_PATH|PARENT_CD|DEPTH_LEVEL|LAST_DEPTH_YN|COLLECTION_CYCLE|COLLECTION_TYPE
05000000000000|한국석유 공사 페트로넷(KNOC)||00000000000000|01|N||
05010000000000|석유수급총괄||05000000000000|02|N||
05010100000000|원유수입||05010000000000|03|Y|M|C
05010200000000|정제처리원유||05010000000000|03|Y|M|C
05010300000000|제품공급||05010000000000|03|N||
05010301000000|생산||05010300000000|04|Y|M|C
05010302000000|수입||05010300000000|04|Y|M|C
05010400000000|제품수요||05010000000000|03|N||
05010401000000|내수||05010400000000|04|Y|M|C
05010402000000|벙커링||05010400000000|04|Y|M|C
05010403000000|수출||05010400000000|04|Y|M|C
05010500000000|재고||05010000000000|03|N||
05010501000000|원유||05010500000000|04|Y|M|C
05010502000000|원유지속일 (단위:일)||05010500000000|04|Y|M|C
05010503000000|제품||05010500000000|04|Y|M|C
05010504000000|제품지속일 (단위:일)||05010500000000|04|Y|M|C
05020000000000|석유제품생산||05000000000000|02|N||
05020100000000|휘발유||05020000000000|03|Y|M|C
05020200000000|등유||05020000000000|03|Y|M|C
05020300000000|경유||05020000000000|03|Y|M|C
05020400000000|경질중유||05020000000000|03|Y|M|C
05020500000000|중유||05020000000000|03|Y|M|C
05020600000000|벙커C유||05020000000000|03|Y|M|C
05020700000000|납사||05020000000000|03|Y|M|C
05020800000000|용제||05020000000000|03|Y|M|C
05020900000000|항공유||05020000000000|03|Y|M|C
05021000000000|LPG||05020000000000|03|Y|M|C
05021100000000|아스팔트||05020000000000|03|Y|M|C
05021200000000|윤활유||05020000000000|03|Y|M|C
05021300000000|기타제품||05020000000000|03|Y|M|C
05021400000000|부생연료유||05020000000000|03|Y|M|C
05030000000000|제품수입(제품별)||05000000000000|02|N||
05030100000000|휘발유||05030000000000|03|N||
05030101000000|물량||05030100000000|04|Y|M|C
05030102000000|금액||05030100000000|04|Y|M|C
05030103000000|단가||05030100000000|04|Y|M|C
05030200000000|등유||05030000000000|03|N||
05030201000000|물량||05030200000000|04|Y|M|C
05030202000000|금액||05030200000000|04|Y|M|C
05030203000000|단가||05030200000000|04|Y|M|C
05030300000000|벙커C유||05030000000000|03|N||
05030301000000|물량||05030300000000|04|Y|M|C
