CATEGORY_CD|CATEGORY_NM|API_PATH|PARENT_CD|DEPTH_LEVEL|LAST_DEPTH_YN|COLLECTION_CYCLE|COLLECTION_TYPE
06000000000000|한국중고자동차수출조합(KUCEA)||00000000000000|01|N||
06010000000000|승용||06000000000000|02|N||
06010100000000|금액||06010000000000|03|Y|M|C
06010200000000|수량||06010000000000|03|Y|M|C
06020000000000|승합||06000000000000|02|N||
06020100000000|금액||06020000000000|03|Y|M|C
06020200000000|수량||06020000000000|03|Y|M|C
06030000000000|화물||06000000000000|02|N||
06030100000000|금액||06030000000000|03|Y|M|C
06030200000000|수량||06030000000000|03|Y|M|C
06040000000000|트렉터||06000000000000|02|N||
06040100000000|금액||06040000000000|03|Y|M|C
06040200000000|수량||06040000000000|03|Y|M|C
