CATEGORY_CD|CATEGORY_NM|API_PATH|PARENT_CD|DEPTH_LEVEL|LAST_DEPTH_YN|COLLECTION_CYCLE|COLLECTION_TYPE
07000000000000|한국해운협회(KSA)||00000000000000|01|N||
07010000000000|해상운임지수 데이터||07000000000000|02|N||
07010100000000|BDI||07010000000000|03|Y|M|C
07010200000000|KCCI||07010000000000|03|Y|M|C
07010300000000|SCFI||07010000000000|03|Y|M|C
07010400000000|SCFI(USWC)||07010000000000|03|Y|M|C
07010500000000|SCFI(Europe)||07010000000000|03|Y|M|C
07010600000000|SCFI(USEC)||07010000000000|03|Y|M|C
07010700000000|HRCI||07010000000000|03|Y|M|C
07010800000000|WS||07010000000000|03|Y|M|C
07010900000000|HSFO||07010000000000|03|Y|M|C
07011000000000|VLSFO||07010000000000|03|Y|M|C
