CATEGORY_CD|CATEGORY_NM|API_PATH|PARENT_CD|DEPTH_LEVEL|LAST_DEPTH_YN|COLLECTION_CYCLE|COLLECTION_TYPE
08000000000000|한국석유화학협회(KCIA)||00000000000000|01|N||
08010000000000|기초유분||08000000000000|02|N||
08010100000000|에틸렌||08010000000000|03|N||
08010101000000|생산(출하)||08010100000000|04|Y|Y|C
08010102000000|수출||08010100000000|04|Y|Y|C
08010103000000|수입||08010100000000|04|Y|Y|C
08010104000000|국내수요||08010100000000|04|Y|Y|C
08010200000000|프로필렌||08010000000000|03|N||
08010201000000|생산(출하)||08010200000000|04|Y|Y|C
08010202000000|수출||08010200000000|04|Y|Y|C
08010203000000|수입||08010200000000|04|Y|Y|C
08010204000000|국내수요||08010200000000|04|Y|Y|C
08010300000000|부타디엔||08010000000000|03|N||
08010301000000|생산(출하)||08010300000000|04|Y|Y|C
08010302000000|수출||08010300000000|04|Y|Y|C
08010303000000|수입||08010300000000|04|Y|Y|C
08010304000000|국내수요||08010300000000|04|Y|Y|C
08010400000000|벤젠||08010000000000|03|N||
08010401000000|생산(출하)||08010400000000|04|Y|Y|C
08010402000000|수출||08010400000000|04|Y|Y|C
08010403000000|수입||08010400000000|04|Y|Y|C
08010404000000|국내수요||08010400000000|04|Y|Y|C
08010500000000|톨루엔||08010000000000|03|N||
08010501000000|생산(출하)||08010500000000|04|Y|Y|C
08010502000000|수출||08010500000000|04|Y|Y|C
08010503000000|수입||08010500000000|04|Y|Y|C
08010504000000|국내수요||08010500000000|04|Y|Y|C
08010600000000|자일렌||08010000000000|03|N||
08010601000000|생산(출하)||08010600000000|04|Y|Y|C
08010602000000|수출||08010600000000|04|Y|Y|C
08010603000000|수입||08010600000000|04|Y|Y|C
08010604000000|국내수요||08010600000000|04|Y|Y|C
08020000000000|중간원료||08000000000000|02|N||
08020100000000|SM||08020000000000|03|N||
08020101000000|생산(출하)||08020100000000|04|Y|Y|C
08020102000000|수출||08020100000000|04|Y|Y|C
08020103000000|수입||08020100000000|04|Y|Y|C
08020104000000|국내수요||08020100000000|04|Y|Y|C
08020200000000|P-X||08020000000000|03|N||
08020201000000|생산(출하)||08020200000000|04|Y|Y|C
08020202000000|수출||08020200000000|04|Y|Y|C
08020203000000|수입||08020200000000|04|Y|Y|C
08020204000000|국내수요||08020200000000|04|Y|Y|C
08020300000000|O-X||08020000000000|03|N||
08020301000000|생산(출하)||08020300000000|04|Y|Y|C
08020302000000|수출||08020300000000|04|Y|Y|C
08020303000000|수입||08020300000000|04|Y|Y|C
08020304000000|국내수요||08020300000000|04|Y|Y|C
08020400000000|C-H||08020000000000|03|N||
08020401000000|생산(출하)||08020400000000|04|Y|Y|C
08020402000000|수출||08020400000000|04|Y|Y|C
08020403000000|수입||08020400000000|04|Y|Y|C
