CATEGORY_CD|CATEGORY_NM|API_PATH|PARENT_CD|DEPTH_LEVEL|LAST_DEPTH_YN|COLLECTION_CYCLE|COLLECTION_TYPE
09000000000000|유엔 무역 개발 기구 unctadstat(UNCTAD)||00000000000000|01|N||
09010000000000|항만 정기선 해운 연결성 지수||09000000000000|02|N||
09010100000000|Albania||09010000000000|03|N||
09010101000000|Durres||09010100000000|04|Y|Q|A
09010200000000|Algeria||09010000000000|03|N||
09010201000000|Algiers||09010200000000|04|Y|Q|A
09010202000000|Annaba||09010200000000|04|Y|Q|A
09010203000000|Arzew||09010200000000|04|Y|Q|A
09010204000000|Bejaia||09010200000000|04|Y|Q|A
09010205000000|Djen Djen||09010200000000|04|Y|Q|A
09010206000000|Ghazaouet||09010200000000|04|Y|Q|A
09010207000000|Mostaganem||09010200000000|04|Y|Q|A
09010208000000|Oran||09010200000000|04|Y|Q|A
09010209000000|Skikda||09010200000000|04|Y|Q|A
09010300000000|American Samoa||09010000000000|03|N||
09010301000000|Pago Pago||09010300000000|04|Y|Q|A
09010400000000|Angola||09010000000000|03|N||
09010401000000|Cabinda||09010400000000|04|Y|Q|A
09010402000000|Lobito||09010400000000|04|Y|Q|A
09010403000000|Luanda||09010400000000|04|Y|Q|A
09010404000000|Malongo||09010400000000|04|Y|Q|A
09010405000000|Namibe||09010400000000|04|Y|Q|A
09010406000000|Porto Amboim||09010400000000|04|Y|Q|A
09010407000000|Soyo||09010400000000|04|Y|Q|A
09010500000000|Anguilla||09010000000000|03|N||
09010501000000|Anguilla||09010500000000|04|Y|Q|A
09010600000000|Antigua and Barbuda||09010000000000|03|N||
09010601000000|St John's (AG)||09010600000000|04|Y|Q|A
09010700000000|Argentina||09010000000000|03|N||
09010701000000|Bahia Blanca||09010700000000|04|Y|Q|A
09010702000000|Buenos Aires||09010700000000|04|Y|Q|A
09010703000000|La Plata||09010700000000|04|Y|Q|A
09010704000000|Mar del Plata||09010700000000|04|Y|Q|A
09010705000000|Puerto Deseado||09010700000000|04|Y|Q|A
09010706000000|Puerto Madryn||09010700000000|04|Y|Q|A
09010707000000|Rosario||09010700000000|04|Y|Q|A
09010708000000|San Antonio Este||09010700000000|04|Y|Q|A
09010709000000|Ushuaia||09010700000000|04|Y|Q|A
09010710000000|Zarate||09010700000000|04|Y|Q|A
09010800000000|Aruba||09010000000000|03|N||
09010801000000|Barcadera||09010800000000|04|Y|Q|A
09010802000000|Oranjestad||09010800000000|04|Y|Q|A
09010900000000|Australia||09010000000000|03|N||
09010901000000|Adelaide||09010900000000|04|Y|Q|A
09010902000000|Bell Bay||09010900000000|04|Y|Q|A
09010903000000|Brisbane||09010900000000|04|Y|Q|A
09010904000000|Broome||09010900000000|04|Y|Q|A
09010905000000|Burnie||09010900000000|04|Y|Q|A
09010906000000|Cairns||09010900000000|04|Y|Q|A
09010907000000|Dampier||09010900000000|04|Y|Q|A
09010908000000|Darwin||09010900000000|04|Y|Q|A
09010909000000|Devonport||09010900000000|04|Y|Q|A
09010910000000|Esperance||09010900000000|04|Y|Q|A
09010911000000|Fremantle||09010900000000|04|Y|Q|A
09010912000000|Geelong||09010900000000|04|Y|Q|A
09010913000000|Gladstone||09010900000000|04|Y|Q|A
09010914000000|Hobart||09010900000000|04|Y|Q|A
09010915000000|Mackay||09010900000000|04|Y|Q|A
09010916000000|Melbourne||09010900000000|04|Y|Q|A
09010917000000|Newcastle||09010900000000|04|Y|Q|A
09010918000000|Port Alma||09010900000000|04|Y|Q|A
09010919000000|Port Botany||09010900000000|04|Y|Q|A
09010920000000|Port Hedland||09010900000000|04|Y|Q|A
09010921000000|Port Kembla||09010900000000|04|Y|Q|A
09010922000000|Sydney||09010900000000|04|Y|Q|A
09010923000000|Townsville||09010900000000|04|Y|Q|A
09010924000000|Weipa||09010900000000|04|Y|Q|A
09010925000000|Wyndham||09010900000000|04|Y|Q|A
09011000000000|Bahamas||09010000000000|03|N||
09011001000000|Andros Island||09011000000000|04|Y|Q|A
09011002000000|Eleuthera Island||09011000000000|04|Y|Q|A
09011003000000|Freeport (BS)||09011000000000|04|Y|Q|A
09011004000000|Marsh Harbour||09011000000000|04|Y|Q|A
09011005000000|Nassau||09011000000000|04|Y|Q|A
09011100000000|Bahrain||09010000000000|03|N||
09011101000000|Bahrain||09011100000000|04|Y|Q|A
09011200000000|Bangladesh||09010000000000|03|N||
09011201000000|Chalna||09011200000000|04|Y|Q|A
09011202000000|Chittagong||09011200000000|04|Y|Q|A
09011203000000|Mongla||09011200000000|04|Y|Q|A
09011300000000|Barbados||09010000000000|03|N||
09011301000000|Bridgetown||09011300000000|04|Y|Q|A
09011400000000|Belgium||09010000000000|03|N||
09011401000000|Antwerp||09011400000000|04|Y|Q|A
09011402000000|Ghent||09011400000000|04|Y|Q|A
09011403000000|Ostend||09011400000000|04|Y|Q|A
09011404000000|Zeebrugge||09011400000000|04|Y|Q|A
09011500000000|Belize||09010000000000|03|N||
09011501000000|Belize City||09011500000000|04|Y|Q|A
09011502000000|Big Creek||09011500000000|04|Y|Q|A
09011600000000|Benin||09010000000000|03|N||
09011601000000|Cotonou||09011600000000|04|Y|Q|A
09011700000000|Bermuda||09010000000000|03|N||
09011701000000|Hamilton (BM)||09011700000000|04|Y|Q|A
09011800000000|Bonaire||09010000000000|03|N||
09011801000000|Sint Eustatius and Saba, Kralendijk||09011800000000|04|Y|Q|A
09011802000000|Sint Eustatius and Saba, St Eustatius||09011800000000|04|Y|Q|A
09011900000000|Brazil||09010000000000|03|N||
09011901000000|Belem||09011900000000|04|Y|Q|A
09011902000000|Fazendinha||09011900000000|04|Y|Q|A
09011903000000|Fortaleza||09011900000000|04|Y|Q|A
09011904000000|Ilheus||09011900000000|04|Y|Q|A
09011905000000|Imbituba||09011900000000|04|Y|Q|A
09011906000000|Itajai||09011900000000|04|Y|Q|A
09011907000000|Itapoa||09011900000000|04|Y|Q|A
09011908000000|Itaqui||09011900000000|04|Y|Q|A
09011909000000|Macapa||09011900000000|04|Y|Q|A
09011910000000|Maceio||09011900000000|04|Y|Q|A
09011911000000|Manaus||09011900000000|04|Y|Q|A
09011912000000|Natal||09011900000000|04|Y|Q|A
09011913000000|Navegantes||09011900000000|04|Y|Q|A
09011914000000|Paranagua||09011900000000|04|Y|Q|A
09011915000000|Pecem||09011900000000|04|Y|Q|A
09011916000000|Portocel||09011900000000|04|Y|Q|A
09011917000000|Praia Mole||09011900000000|04|Y|Q|A
09011918000000|Recife||09011900000000|04|Y|Q|A
09011919000000|Rio de Janeiro||09011900000000|04|Y|Q|A
09011920000000|Rio Grande||09011900000000|04|Y|Q|A
09011921000000|Salvador||09011900000000|04|Y|Q|A
09011922000000|Santana||09011900000000|04|Y|Q|A
09011923000000|Santarem||09011900000000|04|Y|Q|A
09011924000000|Santos||09011900000000|04|Y|Q|A
09011925000000|Sao Francisco do Sul||09011900000000|04|Y|Q|A
09011926000000|Sao Luis||09011900000000|04|Y|Q|A
09011927000000|Sepetiba||09011900000000|04|Y|Q|A
09011928000000|Suape||09011900000000|04|Y|Q|A
09011929000000|Vila do Conde||09011900000000|04|Y|Q|A
09011930000000|Vitoria||09011900000000|04|Y|Q|A
09012000000000|British Virgin Islands||09010000000000|03|N||
09012001000000|Tortola||09012000000000|04|Y|Q|A
09012002000000|Virgin Gorda||09012000000000|04|Y|Q|A
09012100000000|Brunei Darussalam||09010000000000|03|N||
09012101000000|Muara||09012100000000|04|Y|Q|A
09012200000000|Bulgaria||09010000000000|03|N||
09012201000000|Bourgas||09012200000000|04|Y|Q|A
09012202000000|Varna||09012200000000|04|Y|Q|A
09012300000000|Cabo Verde||09010000000000|03|N||
09012301000000|Mindelo||09012300000000|04|Y|Q|A
09012302000000|Palmeira||09012300000000|04|Y|Q|A
09012303000000|Porto Novo||09012300000000|04|Y|Q|A
09012304000000|Porto Praia||09012300000000|04|Y|Q|A
09012305000000|Sal Rei||09012300000000|04|Y|Q|A
09012306000000|St Vincent||09012300000000|04|Y|Q|A
09012400000000|Cambodia||09010000000000|03|N||
09012401000000|Sihanoukville||09012400000000|04|Y|Q|A
09012500000000|Cameroon||09010000000000|03|N||
09012501000000|Douala||09012500000000|04|Y|Q|A
09012502000000|Kribi||09012500000000|04|Y|Q|A
09012600000000|Canada||09010000000000|03|N||
09012601000000|Argentia||09012600000000|04|Y|Q|A
09012602000000|Bayside||09012600000000|04|Y|Q|A
09012603000000|Chemainus||09012600000000|04|Y|Q|A
09012604000000|Corner Brook||09012600000000|04|Y|Q|A
09012605000000|Crofton||09012600000000|04|Y|Q|A
09012606000000|Goose Bay||09012600000000|04|Y|Q|A
09012607000000|Halifax||09012600000000|04|Y|Q|A
09012608000000|Hamilton (CA)||09012600000000|04|Y|Q|A
09012609000000|Kitimat||09012600000000|04|Y|Q|A
09012610000000|Lewisporte||09012600000000|04|Y|Q|A
09012611000000|Liverpool (CA)||09012600000000|04|Y|Q|A
09012612000000|Matane||09012600000000|04|Y|Q|A
09012613000000|Montreal||09012600000000|04|Y|Q|A
09012614000000|Nanaimo||09012600000000|04|Y|Q|A
09012615000000|New Westminster||09012600000000|04|Y|Q|A
09012616000000|Picton (CA)||09012600000000|04|Y|Q|A
09012617000000|Pictou||09012600000000|04|Y|Q|A
09012618000000|Port Mellon||09012600000000|04|Y|Q|A
09012619000000|Prince Rupert||09012600000000|04|Y|Q|A
09012620000000|Quebec||09012600000000|04|Y|Q|A
09012621000000|Saint John||09012600000000|04|Y|Q|A
09012622000000|Shellburn||09012600000000|04|Y|Q|A
09012623000000|Sorel||09012600000000|04|Y|Q|A
09012624000000|Squamish||09012600000000|04|Y|Q|A
09012625000000|St John's (CA)||09012600000000|04|Y|Q|A
09012626000000|Toronto||09012600000000|04|Y|Q|A
