CATEGORY_CD|CATEGORY_NM|API_PATH|PARENT_CD|DEPTH_LEVEL|LAST_DEPTH_YN|COLLECTION_CYCLE|COLLECTION_TYPE
11000000000000|World Bank||00000000000000|01|N||
11010000000000|Container port traffic (TEU: 20 foot equivalent units)||11000000000000|02|N||
11010100000000|Afghanistan||11010000000000|03|Y|Q|A
11010200000000|Africa Eastern and Southern||11010000000000|03|Y|Q|A
11010300000000|Africa Western and Central||11010000000000|03|Y|Q|A
11010400000000|Albania||11010000000000|03|Y|Q|A
11010500000000|Algeria||11010000000000|03|Y|Q|A
11010600000000|American Samoa||11010000000000|03|Y|Q|A
11010700000000|Andorra||11010000000000|03|Y|Q|A
11010800000000|Angola||11010000000000|03|Y|Q|A
11010900000000|Antigua and Barbuda||11010000000000|03|Y|Q|A
11011000000000|Arab World||11010000000000|03|Y|Q|A
11011100000000|Argentina||11010000000000|03|Y|Q|A
11011200000000|Armenia||11010000000000|03|Y|Q|A
11011300000000|Aruba||11010000000000|03|Y|Q|A
11011400000000|Australia||11010000000000|03|Y|Q|A
11011500000000|Austria||11010000000000|03|Y|Q|A
11011600000000|Azerbaijan||11010000000000|03|Y|Q|A
11011700000000|Bahamas, The||11010000000000|03|Y|Q|A
11011800000000|Bahrain||11010000000000|03|Y|Q|A
11011900000000|Bangladesh||11010000000000|03|Y|Q|A
11012000000000|Barbados||11010000000000|03|Y|Q|A
11012100000000|Belarus||11010000000000|03|Y|Q|A
11012200000000|Belgium||11010000000000|03|Y|Q|A
11012300000000|Belize||11010000000000|03|Y|Q|A
11012400000000|Benin||11010000000000|03|Y|Q|A
11012500000000|Bermuda||11010000000000|03|Y|Q|A
11012600000000|Bhutan||11010000000000|03|Y|Q|A
11012700000000|Bolivia||11010000000000|03|Y|Q|A
11012800000000|Bosnia and Herzegovina||11010000000000|03|Y|Q|A
11012900000000|Botswana||11010000000000|03|Y|Q|A
11013000000000|Brazil||11010000000000|03|Y|Q|A
11013100000000|British Virgin Islands||11010000000000|03|Y|Q|A
11013200000000|Brunei Darussalam||11010000000000|03|Y|Q|A
11013300000000|Bulgaria||11010000000000|03|Y|Q|A
11013400000000|Burkina Faso||11010000000000|03|Y|Q|A
11013500000000|Burundi||11010000000000|03|Y|Q|A
11013600000000|Cabo Verde||11010000000000|03|Y|Q|A
11013700000000|Cambodia||11010000000000|03|Y|Q|A
11013800000000|Cameroon||11010000000000|03|Y|Q|A
11013900000000|Canada||11010000000000|03|Y|Q|A
11014000000000|Caribbean small states||11010000000000|03|Y|Q|A
11014100000000|Cayman Islands||11010000000000|03|Y|Q|A
11014200000000|Central African Republic||11010000000000|03|Y|Q|A
11014300000000|Central Europe and the Baltics||11010000000000|03|Y|Q|A
11014400000000|Chad||11010000000000|03|Y|Q|A
11014500000000|Channel Islands||11010000000000|03|Y|Q|A
11014600000000|Chile||11010000000000|03|Y|Q|A
11014700000000|China||11010000000000|03|Y|Q|A
11014800000000|Colombia||11010000000000|03|Y|Q|A
11014900000000|Comoros||11010000000000|03|Y|Q|A
11015000000000|Congo, Dem. Rep.||11010000000000|03|Y|Q|A
11015100000000|Congo, Rep.||11010000000000|03|Y|Q|A
11015200000000|Costa Rica||11010000000000|03|Y|Q|A
11015300000000|Cote d'Ivoire||11010000000000|03|Y|Q|A
11015400000000|Croatia||11010000000000|03|Y|Q|A
11015500000000|Cuba||11010000000000|03|Y|Q|A
11015600000000|Curacao||11010000000000|03|Y|Q|A
11015700000000|Cyprus||11010000000000|03|Y|Q|A
11015800000000|Czechia||11010000000000|03|Y|Q|A
11015900000000|Denmark||11010000000000|03|Y|Q|A
11016000000000|Djibouti||11010000000000|03|Y|Q|A
11016100000000|Dominica||11010000000000|03|Y|Q|A
11016200000000|Dominican Republic||11010000000000|03|Y|Q|A
11016300000000|Early-demographic dividend||11010000000000|03|Y|Q|A
11016400000000|East Asia & Pacific||11010000000000|03|Y|Q|A
11016500000000|East Asia & Pacific (excluding high income)||11010000000000|03|Y|Q|A
11016600000000|East Asia & Pacific (IDA & IBRD countries)||11010000000000|03|Y|Q|A
11016700000000|Ecuador||11010000000000|03|Y|Q|A
11016800000000|Egypt, Arab Rep.||11010000000000|03|Y|Q|A
11016900000000|El Salvador||11010000000000|03|Y|Q|A
11017000000000|Equatorial Guinea||11010000000000|03|Y|Q|A
11017100000000|Eritrea||11010000000000|03|Y|Q|A
11017200000000|Estonia||11010000000000|03|Y|Q|A
11017300000000|Eswatini||11010000000000|03|Y|Q|A
11017400000000|Ethiopia||11010000000000|03|Y|Q|A
11017500000000|Euro area||11010000000000|03|Y|Q|A
11017600000000|Europe & Central Asia||11010000000000|03|Y|Q|A
11017700000000|Europe & Central Asia (excluding high income)||11010000000000|03|Y|Q|A
11017800000000|Europe & Central Asia (IDA & IBRD countries)||11010000000000|03|Y|Q|A
11017900000000|European Union||11010000000000|03|Y|Q|A
11018000000000|Faroe Islands||11010000000000|03|Y|Q|A
11018100000000|Fiji||11010000000000|03|Y|Q|A
11018200000000|Finland||11010000000000|03|Y|Q|A
11018300000000|Fragile and conflict affected situations||11010000000000|03|Y|Q|A
11018400000000|France||11010000000000|03|Y|Q|A
11018500000000|French Polynesia||11010000000000|03|Y|Q|A
11018600000000|Gabon||11010000000000|03|Y|Q|A
11018700000000|Gambia, The||11010000000000|03|Y|Q|A
11018800000000|Georgia||11010000000000|03|Y|Q|A
11018900000000|Germany||11010000000000|03|Y|Q|A
11019000000000|Ghana||11010000000000|03|Y|Q|A
11019100000000|Gibraltar||11010000000000|03|Y|Q|A
11019200000000|Greece||11010000000000|03|Y|Q|A
11019300000000|Greenland||11010000000000|03|Y|Q|A
11019400000000|Grenada||11010000000000|03|Y|Q|A
11019500000000|Guam||11010000000000|03|Y|Q|A
11019600000000|Guatemala||11010000000000|03|Y|Q|A
11019700000000|Guinea||11010000000000|03|Y|Q|A
11019800000000|Guinea-Bissau||11010000000000|03|Y|Q|A
11019900000000|Guyana||11010000000000|03|Y|Q|A
1101A000000000|Haiti||11010000000000|03|Y|Q|A
1101A100000000|Heavily indebted poor countries (HIPC)||11010000000000|03|Y|Q|A
1101A200000000|High income||11010000000000|03|Y|Q|A
