CATEGORY_CD|CATEGORY_NM|API_PATH|PARENT_CD|DEPTH_LEVEL|LAST_DEPTH_YN|COLLECTION_CYCLE|COLLECTION_TYPE
12000000000000|한국철강협회(KOSA)||00000000000000|01|N||
12010000000000|조강||12000000000000|02|N||
12010100000000|당년실적||12010000000000|03|N||
12010101000000|계||12010100000000|04|Y|Y,M|C
12010102000000|전로강||12010100000000|04|N||
12010102010000|집계||12010102000000|05|Y|Y,M|C
12010102020000|보통강||12010102000000|05|Y|Y,M|C
12010102030000|특수강||12010102000000|05|Y|Y,M|C
12010103000000|전기로강||12010100000000|04|N||
12010103010000|집계||12010103000000|05|Y|Y,M|C
12010103020000|보통강||12010103000000|05|Y|Y,M|C
12010103030000|특수강||12010103000000|05|Y|Y,M|C
12020000000000|철스크랩(용도별)||12000000000000|02|N||
12020100000000|국내구매||12020000000000|03|Y|Y,M|C
12020200000000|수입구매||12020000000000|03|Y|Y,M|C
12020300000000|자가발생구매||12020000000000|03|Y|Y,M|C
12020400000000|자가소비||12020000000000|03|Y|Y,M|C
12020500000000|구매집계||12020000000000|03|Y|Y,M|C
12020600000000|국내판매||12020000000000|03|Y|Y,M|C
12020700000000|기타판매||12020000000000|03|Y|Y,M|C
12020800000000|판매집계||12020000000000|03|Y|Y,M|C
12020900000000|당월재고||12020000000000|03|Y|Y,M|C
12021000000000|전월재고||12020000000000|03|Y|Y,M|C
