COLLECT_PLACE_NM|COLLECT_PLACE_CD|DEPTH1_NM|DEPTH1_CD|DEPTH2_NM|DEPTH2_CD|DEPTH3_NM|DEPTH3_CD|DEPTH4_NM|DEPTH4_CD|DEPTH5_NM|DEPTH5_CD|DEPTH6_NM|DEPTH6_CD|DEPTH7_NM|DEPTH7_CD|COLLECT_RANGE|USE_YN|TABLE_NAME|COLUMNS_INFO
ECOS(한국은행)|ECOS|금리 통계|INTEREST_RATE|1.3.1. 한국은행 기준금리 및 여수신금리|722Y001|한국은행기준금리(연%)|101000|||||||||M|Y||
ECOS(한국은행)|ECOS|금리 통계|INTEREST_RATE|1.3.1. 한국은행 기준금리 및 여수신금리|722Y001|한국은행기준금리(연%)|101000|||||||||Y|Y||
ECOS(한국은행)|ECOS|금리 통계|INTEREST_RATE|1.3.2.2. 시장금리(월,분기,년)|721Y001|무담보콜금리(1일)|1010000|||||||||M|Y||
ECOS(한국은행)|ECOS|금리 통계|INTEREST_RATE|1.3.2.2. 시장금리(월,분기,년)|721Y001|담보콜금리(1일)|1030000|||||||||M|Y||
ECOS(한국은행)|ECOS|금리 통계|INTEREST_RATE|1.3.2.2. 시장금리(월,분기,년)|721Y001|국고채(1년)|5030000|||||||||M|Y||
ECOS(한국은행)|ECOS|금리 통계|INTEREST_RATE|1.3.2.2. 시장금리(월,분기,년)|721Y001|국고채(3년)|5020000|||||||||M|Y||
ECOS(한국은행)|ECOS|금리 통계|INTEREST_RATE|1.3.2.2. 시장금리(월,분기,년)|721Y001|국고채(5년)|5040000|||||||||M|Y||
ECOS(한국은행)|ECOS|증권 통계|STOCK|1.5.1.2. 주식시장(월,년)|901Y014|KOSPI_종가|1070000|||||||||Y|Y||
ECOS(한국은행)|ECOS|증권 통계|STOCK|1.5.1.2. 주식시장(월,년)|901Y014|KOSPI_종가|1070000|||||||||M|Y||
ECOS(한국은행)|ECOS|증권 통계|STOCK|1.5.1.2. 주식시장(월,년)|901Y014|KOSPI_평균|1080000|||||||||Y|Y||
ECOS(한국은행)|ECOS|증권 통계|STOCK|1.5.1.2. 주식시장(월,년)|901Y014|KOSPI_평균|1080000|||||||||M|Y||
ECOS(한국은행)|ECOS|증권 통계|STOCK|1.5.1.2. 주식시장(월,년)|901Y014|KOSPI_거래량|1050000|||||||||M|Y||
ECOS(한국은행)|ECOS|증권 통계|STOCK|1.5.1.2. 주식시장(월,년)|901Y014|KOSPI_거래대금|1060000|||||||||M|Y||
ECOS(한국은행)|ECOS|증권 통계|STOCK|1.5.1.2. 주식시장(월,년)|901Y014|KOSDAQ_거래량|2050000|||||||||M|Y||
ECOS(한국은행)|ECOS|증권 통계|STOCK|1.5.1.2. 주식시장(월,년)|901Y014|KOSDAQ_거래대금|2060000|||||||||M|Y||
ECOS(한국은행)|ECOS|증권 통계|STOCK|1.5.1.2. 주식시장(월,년)|901Y014|KOSDAQ_종가|2090000|||||||||M|Y||
ECOS(한국은행)|ECOS|증권 통계|STOCK|1.5.1.2. 주식시장(월,년)|901Y014|KOSDAQ_평균|2100000|||||||||M|Y||
ECOS(한국은행)|ECOS|성장률 통계|GROWTH_RATE|2.7.1.1. 주요지표(연간지표)|200Y001|국내총생산(실질성장률%)|20101|||||||||Y|Y||
