CATEGORY_CD|CATEGORY_NM|API_PATH|PARENT_CD|DEPTH_LEVEL|LAST_DEPTH_YN|COLLECTION_CYCLE|COLLECTION_TYPE
02000000000000|S&P Global(IHS)(GTAS)|||01|N||
02010000000000|Airborne Metric Tons||02000000000000|02|N||
02010100000000|Animal Products||02010000000000|03|N||
02010101000000|Animal originated products||02010100000000|04|Y|Y,M|C
02010102000000|Aquatic invertebrates, other||02010100000000|04|Y|Y,M|C
02010103000000|Beef, fresh or chilled||02010100000000|04|Y|Y,M|C
02010104000000|Beef, frozen||02010100000000|04|Y|Y,M|C
02010105000000|Birds' eggs||02010100000000|04|Y|Y,M|C
02010106000000|Butter and cheese||02010100000000|04|Y|Y,M|C
02010107000000|Crustaceans, frozen||02010100000000|04|Y|Y,M|C
02010108000000|Crustaceans, live fresh or chilled||02010100000000|04|Y|Y,M|C
02010109000000|Crustaceans, n.e.s., fresh, chilled or frozen||02010100000000|04|Y|Y,M|C
02010110000000|Dairy produce; birds' eggs; natural honey; edible products of animal origin, n.e.s.||02010100000000|04|Y|Y,M|C
02010111000000|Edible offal of bovine animals, swine, sheep, goats, horses etc., fresh or chilled||02010100000000|04|Y|Y,M|C
02010112000000|Edible offal of bovine animals, swine, sheep, goats, horses etc., frozen||02010100000000|04|Y|Y,M|C
02010113000000|Fish and crustaceans, molluscs and other aquatic invertebrates, n.e.s.||02010100000000|04|Y|Y,M|C
02010114000000|Fish and seafood, prepared or preserved||02010100000000|04|Y|Y,M|C
02010115000000|Fish fillets and other fish meat (whether or not minced), fresh or chilled||02010100000000|04|Y|Y,M|C
02010116000000|Fish fillets and other fish meat (whether or not minced), frozen||02010100000000|04|Y|Y,M|C
02010117000000|Fish fillets and other fish meat (whether or not minced), n.e.s., fresh, chilled or frozen||02010100000000|04|Y|Y,M|C
02010118000000|Fish, dried, salted, smoked or in brine and fish meal fit for human consumption||02010100000000|04|Y|Y,M|C
02010119000000|Fish, fresh or chilled, excluding fish fillets and other fish meat without bones||02010100000000|04|Y|Y,M|C
02010120000000|Fish, frozen, excl. fish fillets or fish meat without bones||02010100000000|04|Y|Y,M|C
02010200000000|Beverages and Oils||02010000000000|03|N||
02010201000000|Animal and vegetable oils, excl. soybean oil||02010200000000|04|Y|Y,M|C
02010202000000|Beer, cider, fermented beverages||02010200000000|04|Y|Y,M|C
02010203000000|Beverages, spirits and vinegar, n.e.s.||02010200000000|04|Y|Y,M|C
02010204000000|Grape alcoholic beverages, incl. wine||02010200000000|04|N||
02010204010000|2204 Wine of fresh grapes, including fortified wines; grape must (having an alcoholic strength by volume exceeding 0.5% vol.) nesoi||02010204000000|05|Y|Y,M|C
02010204020000|2205 Vermouth and other wine of fresh grapes flavored with plants or aromatic substances||02010204000000|05|Y|Y,M|C
02010205000000|Palm, coconut and palm kernel oil||02010200000000|04|Y|Y,M|C
02010206000000|Soybean oil||02010200000000|04|Y|Y,M|C
02010207000000|Spirits, liqueurs and other spirituous beverages||02010200000000|04|N||
02010207010000|2207 Ethyl alcohol, undenatured, of an alcoholic strength by volume of 80% vol. or higher; ethyl alcohol and other spirits, denatured, of any strength||02010207000000|05|Y|Y,M|C
02010207020000|2208 Ethyl alcohol, undenatured, of an alcoholic strength by volume of under 80% vol.; spirits, liqueurs and other spirituous beverages||02010207000000|05|Y|Y,M|C
02010208000000|Water, mineral and aerated water||02010200000000|04|N||
02010208010000|2201 Waters, including natural or artificial mineral waters and aerated waters, not containing added sweetening nor flavored; ice and snow||02010208000000|05|Y|Y,M|C
02010208020000|2202 Waters, including mineral waters and aerated waters, containing added sweetening or flavored, and other nonalcoholic beverages nesoi||02010208000000|05|Y|Y,M|C
02010300000000|Chemicals and Related Products||02010000000000|03|N||
02010301000000|Antibiotics||02010300000000|04|Y|Y,M|C
02010302000000|Chemical elements||02010300000000|04|Y|Y,M|C
02010303000000|Chemical products||02010300000000|04|Y|Y,M|C
02010304000000|Dental hygiene, hair, and shaving preparations||02010300000000|04|Y|Y,M|C
02010305000000|Essential oils, perfumes, and beauty preparations||02010300000000|04|Y|Y,M|C
02010306000000|Fertilizers||02010300000000|04|N||
02010306010000|3100 Fertilizers, n.e.s.||02010306000000|05|Y|Y,M|C
02010306020000|3101 Animal or vegetable fertilizers, including mixed or chemically treated; fertilizers made by mixing or chemically treating animal or vegetable products||02010306000000|05|Y|Y,M|C
02010306030000|3102 Mineral or chemical fertilizers, nitrogenous||02010306000000|05|Y|Y,M|C
02010306040000|3103 Mineral or chemical fertilizers, phosphatic||02010306000000|05|Y|Y,M|C
02010306050000|3104 Mineral or chemical fertilizers, potassic||02010306000000|05|Y|Y,M|C
02010306060000|3105 Mineral or chemical fertilizers with two of the three fertilizer elements; fertilizers nesoi; fertilizers in packs etc. not over 10 kg gross weight||02010306000000|05|Y|Y,M|C
02010307000000|Inorganic chemical compounds||02010300000000|04|Y|Y,M|C
02010308000000|Insecticides, rodenticides, fungicides, herbicides, antisprouting products||02010300000000|04|Y|Y,M|C
02010309000000|Man-made staple fibres, n.e.s.||02010300000000|04|Y|Y,M|C
02010310000000|Natural gums, lac, resins||02010300000000|04|Y|Y,M|C
02010311000000|Natural rubber||02010300000000|04|Y|Y,M|C
02010312000000|Organic chemicals||02010300000000|04|Y|Y,M|C
02010313000000|Paint, varnishes, lacquers and inks||02010300000000|04|Y|Y,M|C
02010314000000|Pharmaceutical goods||02010300000000|04|Y|Y,M|C
02010315000000|Plastics and articles thereof||02010300000000|04|Y|Y,M|C
02010316000000|Plastics in primary forms||02010300000000|04|Y|Y,M|C
02010317000000|Rubber and articles thereof||02010300000000|04|Y|Y,M|C
02010318000000|Rubber articles; waste and scrap of rubber||02010300000000|04|Y|Y,M|C
02010319000000|Rubber tyres||02010300000000|04|Y|Y,M|C
02010320000000|Soap and detergents||02010300000000|04|Y|Y,M|C
02010321000000|Synthetic and artificial filament tow and staple fibres||02010300000000|04|Y|Y,M|C
02010322000000|Synthetic and artificial filaments||02010300000000|04|Y|Y,M|C
02010323000000|Waxes, polishes and creams, modeling pastes||02010300000000|04|Y|Y,M|C
02010400000000|Computers, Office, Communications, and Professional Equipment||02010000000000|03|N||
02010401000000|Medical instruments, appliances and diagnostic apparatus||02010400000000|04|Y|Y,M|C
02010402000000|Office machines and parts||02010400000000|04|Y|Y,M|C
02010403000000|Optical and measuring equipment, meters and counters||02010400000000|04|Y|Y,M|C
02010404000000|Other communications equipment||02010400000000|04|Y|Y,M|C
02010405000000|Photographic or cinematographic goods||02010400000000|04|Y|Y,M|C
02010406000000|Photographic, photocopying and optical goods||02010400000000|04|Y|Y,M|C
02010407000000|Radio and tv||02010400000000|04|Y|Y,M|C
02010408000000|Telephones, microphones, etc.||02010400000000|04|Y|Y,M|C
02010500000000|Energy and Mining||02010000000000|03|N||
02010501000000|Bitumen and asphalt||02010500000000|04|Y|Y,M|C
02010502000000|Coal and coke||02010500000000|04|Y|Y,M|C
02010503000000|Crude oil||02010500000000|04|Y|Y,M|C
02010504000000|Diamonds, precious stones, pearls, and articles thereof||02010500000000|04|Y|Y,M|C
02010505000000|Iron ores and concentrates||02010500000000|04|Y|Y,M|C
02010506000000|Manganese ores and concentrates||02010500000000|04|Y|Y,M|C
02010507000000|Marble and granite||02010500000000|04|Y|Y,M|C
02010508000000|Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes, n.e.s.||02010500000000|04|Y|Y,M|C
02010509000000|Mineral tars and petroleum heavy ends, incl. bitumen; petroleum jelly||02010500000000|04|Y|Y,M|C
02010510000000|Natural gas, petroleum gases and gaseous hydrocarbons||02010500000000|04|Y|Y,M|C
02010511000000|Non-ferrous ores and concentrates, excl manganese ores||02010500000000|04|Y|Y,M|C
02010512000000|Ores, slag and ash, n.e.s.||02010500000000|04|Y|Y,M|C
02010513000000|Refined Petroleum Products||02010500000000|04|Y|Y,M|C
02010514000000|Salt, sulphur, earths, plastering materials, lime and cement||02010500000000|04|Y|Y,M|C
02010515000000|Salt; sulphur; earths, stone; plastering materials, lime and cement||02010500000000|04|Y|Y,M|C
02010516000000|Sands, pebbles, gravel and crushed stone||02010500000000|04|Y|Y,M|C
02010517000000|Slag, dross, ash||02010500000000|04|Y|Y,M|C
02010600000000|Glass and Non-Metallic Products||02010000000000|03|N||
02010601000000|Articles of concrete, cement and plaster||02010600000000|04|Y|Y,M|C
02010602000000|Building stone, worked and non-metallic mineral products, n.e.s.||02010600000000|04|Y|Y,M|C
02010603000000|Ceramic products||02010600000000|04|Y|Y,M|C
02010604000000|Glass and glassware||02010600000000|04|Y|Y,M|C
02010700000000|Machinery and Electrical Equipment||02010000000000|03|N||
02010701000000|Agricultural and food machinery||02010700000000|04|Y|Y,M|C
02010702000000|Bearings and gears||02010700000000|04|Y|Y,M|C
02010703000000|Boilers and turbines, excl. aircraft and vehicle engines||02010700000000|04|Y|Y,M|C
02010704000000|Electric engines, generators and transformers||02010700000000|04|Y|Y,M|C
02010705000000|Electric lamps and lighting equipment||02010700000000|04|Y|Y,M|C
02010706000000|Electrical equipment, n.e.s.||02010700000000|04|Y|Y,M|C
02010707000000|Electricity distribution and control apparatus||02010700000000|04|Y|Y,M|C
02010708000000|Electromechanical and pneumatic hand tools||02010700000000|04|Y|Y,M|C
02010709000000|Electronic valves, tubes, semiconductors and other electronic components||02010700000000|04|Y|Y,M|C
02010710000000|Engines and engine parts; incl. aircraft engines||02010700000000|04|Y|Y,M|C
02010711000000|Farm equipment and earth moving machinery||02010700000000|04|Y|Y,M|C
02010712000000|Filtering machinery, air pumps, fans, etc.||02010700000000|04|Y|Y,M|C
02010713000000|General industrial machinery, n.e.s.||02010700000000|04|Y|Y,M|C
02010714000000|Heating and cooling equipment||02010700000000|04|Y|Y,M|C
02010715000000|Household appliances||02010700000000|04|Y|Y,M|C
02010716000000|Industrial ovens, furnaces and furnace burners; non-electric||02010700000000|04|Y|Y,M|C
02010717000000|Insulated wire and cable; accumulators and batteries; battery waste||02010700000000|04|Y|Y,M|C
02010718000000|Liquid pumps||02010700000000|04|Y|Y,M|C
02010719000000|Machine tools and parts||02010700000000|04|Y|Y,M|C
02010720000000|Machinery and equipment for mining and construction, n.e.s.||02010700000000|04|Y|Y,M|C
02010721000000|Machinery for pulp, paper and printing industries||02010700000000|04|Y|Y,M|C
02010722000000|Metallurgical machinery and equipment||02010700000000|04|Y|Y,M|C
02010723000000|Refrigerators and dishwashing machines, household-type||02010700000000|04|Y|Y,M|C
02010724000000|Special industrial machinery, n.e.s.||02010700000000|04|Y|Y,M|C
02010725000000|Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal||02010700000000|04|Y|Y,M|C
02010726000000|Washing machines, laundry equipment, textile cleaning||02010700000000|04|Y|Y,M|C
