CATEGORY_CD|CATEGORY_NM|API_PATH|PARENT_CD|DEPTH_LEVEL|LAST_DEPTH_YN|COLLECTION_CYCLE|COLLECTION_TYPE
02020000000000|Dry Bulk Metric Tons||02000000000000|02|N||
02020100000000|Animal Products||02020000000000|03|N||
02020101000000|Animal originated products||02020100000000|04|Y|Y,M|C
02020102000000|Meat and fish products, not for human consumption; animal food, etc.||02020100000000|04|Y|Y,M|C
02020200000000|Beverages and Oils||02020000000000|03|N||
02020201000000|Spirits, liqueurs and other spirituous beverages||02020200000000|04|N||
02020201010000|2207 Ethyl alcohol, undenatured, of an alcoholic strength by volume of 80% vol. or higher; ethyl alcohol and other spirits, denatured, of any strength||02020201000000|05|Y|Y,M|C
02020201020000|2208 Ethyl alcohol, undenatured, of an alcoholic strength by volume of under 80% vol.; spirits, liqueurs and other spirituous beverages||02020201000000|05|Y|Y,M|C
02020300000000|Chemicals and Related Products||02020000000000|03|N||
02020301000000|Chemical elements||02020300000000|04|Y|Y,M|C
02020302000000|Chemical products||02020300000000|04|Y|Y,M|C
02020303000000|Essential oils, perfumes, and beauty preparations||02020300000000|04|Y|Y,M|C
02020304000000|Fertilizers||02020300000000|04|N||
02020304010000|3100 Fertilizers, n.e.s.||02020304000000|05|Y|Y,M|C
02020304020000|3101 Animal or vegetable fertilizers, including mixed or chemically treated; fertilizers made by mixing or chemically treating animal or vegetable products||02020304000000|05|Y|Y,M|C
02020304030000|3102 Mineral or chemical fertilizers, nitrogenous||02020304000000|05|Y|Y,M|C
02020304040000|3103 Mineral or chemical fertilizers, phosphatic||02020304000000|05|Y|Y,M|C
02020305000000|Inorganic chemical compounds||02020300000000|04|Y|Y,M|C
02020306000000|Natural gums, lac, resins||02020300000000|04|Y|Y,M|C
02020307000000|Natural rubber||02020300000000|04|Y|Y,M|C
02020308000000|Organic chemicals||02020300000000|04|Y|Y,M|C
02020309000000|Paint, varnishes, lacquers and inks||02020300000000|04|Y|Y,M|C
02020310000000|Plastics and articles thereof||02020300000000|04|Y|Y,M|C
02020311000000|Plastics in primary forms||02020300000000|04|Y|Y,M|C
02020312000000|Rubber and articles thereof||02020300000000|04|Y|Y,M|C
02020313000000|Soap and detergents||02020300000000|04|Y|Y,M|C
02020400000000|Energy and Mining||02020000000000|03|N||
02020401000000|Bitumen and asphalt||02020400000000|04|Y|Y,M|C
02020402000000|Coal and coke||02020400000000|04|Y|Y,M|C
02020403000000|Iron ores and concentrates||02020400000000|04|Y|Y,M|C
02020404000000|Manganese ores and concentrates||02020400000000|04|Y|Y,M|C
02020405000000|Marble and granite||02020400000000|04|Y|Y,M|C
02020406000000|Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes, n.e.s.||02020400000000|04|Y|Y,M|C
02020407000000|Mineral tars and petroleum heavy ends, incl. bitumen; petroleum jelly||02020400000000|04|Y|Y,M|C
02020408000000|Non-ferrous ores and concentrates, excl manganese ores||02020400000000|04|Y|Y,M|C
02020409000000|Ores, slag and ash, n.e.s.||02020400000000|04|Y|Y,M|C
02020410000000|Salt, sulphur, earths, plastering materials, lime and cement||02020400000000|04|Y|Y,M|C
02020411000000|Salt; sulphur; earths, stone; plastering materials, lime and cement||02020400000000|04|Y|Y,M|C
02020412000000|Sands, pebbles, gravel and crushed stone||02020400000000|04|Y|Y,M|C
02020413000000|Slag, dross, ash||02020400000000|04|Y|Y,M|C
02020500000000|Glass and Non-Metallic Products||02020000000000|03|N||
02020501000000|Building stone, worked and non-metallic mineral products, n.e.s.||02020500000000|04|Y|Y,M|C
02020502000000|Ceramic products||02020500000000|04|Y|Y,M|C
02020503000000|Glass and glassware||02020500000000|04|Y|Y,M|C
02020600000000|Machinery and Electrical Equipment||02020000000000|03|N||
02020601000000|Bearings and gears||02020600000000|04|Y|Y,M|C
02020602000000|Electric engines, generators and transformers||02020600000000|04|Y|Y,M|C
02020603000000|Electricity distribution and control apparatus||02020600000000|04|Y|Y,M|C
02020604000000|Electronic valves, tubes, semiconductors and other electronic components||02020600000000|04|Y|Y,M|C
02020605000000|Engines and engine parts; incl. aircraft engines||02020600000000|04|Y|Y,M|C
02020606000000|Liquid pumps||02020600000000|04|Y|Y,M|C
02020607000000|Metallurgical machinery and equipment||02020600000000|04|Y|Y,M|C
02020608000000|Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal||02020600000000|04|Y|Y,M|C
02020700000000|Metals and Metal Products||02020000000000|03|N||
02020701000000|Albuminoidal substances; modified starches; glues; enzymes||02020700000000|04|Y|Y,M|C
02020702000000|Aluminium and articles thereof||02020700000000|04|Y|Y,M|C
02020703000000|Aluminium structures, tanks and containers||02020700000000|04|Y|Y,M|C
02020704000000|Aluminium waste and scrap||02020700000000|04|Y|Y,M|C
02020705000000|Basic iron and steel||02020700000000|04|Y|Y,M|C
02020706000000|Copper and articles thereof||02020700000000|04|Y|Y,M|C
02020707000000|Ferrous waste and scrap||02020700000000|04|Y|Y,M|C
02020708000000|Flat-rolled products of iron and steel||02020700000000|04|Y|Y,M|C
02020709000000|Iron and steel articles||02020700000000|04|Y|Y,M|C
02020710000000|Iron and steel, n.e.s.||02020700000000|04|Y|Y,M|C
02020711000000|Lead and articles thereof||02020700000000|04|Y|Y,M|C
02020712000000|Metal products; misc base metal products||02020700000000|04|Y|Y,M|C
02020713000000|Nickel and articles thereof||02020700000000|04|Y|Y,M|C
02020714000000|Other non-ferrous metals and articles thereof||02020700000000|04|Y|Y,M|C
02020715000000|Tin and articles thereof||02020700000000|04|Y|Y,M|C
02020716000000|Zinc and articles thereof||02020700000000|04|Y|Y,M|C
02020800000000|Miscellaneous||02020000000000|03|N||
02020801000000|Goods not classified by kind||02020800000000|04|Y|Y,M|C
02020802000000|Jewelry and precious metal articles||02020800000000|04|Y|Y,M|C
02020803000000|Miscellaneous manufactured articles||02020800000000|04|Y|Y,M|C
02020900000000|Textiles, Leather, and Apparel||02020000000000|03|N||
02020901000000|Apparel and clothing accessories; not knitted or crocheted||02020900000000|04|Y|Y,M|C
02020902000000|Textile fabrics, impregnated or laminated; suitable for industrial use||02020900000000|04|Y|Y,M|C
02020903000000|Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables||02020900000000|04|Y|Y,M|C
02020904000000|Worn clothing and cloth waste||02020900000000|04|Y|Y,M|C
02021000000000|Transportation Equipment and Parts||02020000000000|03|N||
02021001000000|Railroad equipment, not self-propelled and parts||02021000000000|04|Y|Y,M|C
02021100000000|Vegetable Products||02020000000000|03|N||
02021101000000|Cane and beet sugar, molasses||02021100000000|04|Y|Y,M|C
02021102000000|Cocoa and cocoa preparations||02021100000000|04|Y|Y,M|C
02021103000000|Coffee||02021100000000|04|Y|Y,M|C
02021104000000|Corn||02021100000000|04|Y|Y,M|C
02021105000000|Food industry residues and wastes||02021100000000|04|Y|Y,M|C
02021106000000|Food preparations of flour, meal, pasta, bread etc||02021100000000|04|Y|Y,M|C
02021107000000|Food preparations, yeasts, sauces, soups and extracts||02021100000000|04|Y|Y,M|C
02021108000000|Industrial or medicinal plants; straw and fodder||02021100000000|04|Y|Y,M|C
02021109000000|Leguminous and other vegetables, dried||02021100000000|04|Y|Y,M|C
02021110000000|Oil seeds and oleaginous fruits||02021100000000|04|Y|Y,M|C
02021111000000|Onions, garlic, leeks, leguminous vegetables, other vegetables, fresh and chilled||02021100000000|04|Y|Y,M|C
02021112000000|Other grains and cereals, incl. rye, barley, oats||02021100000000|04|N||
