COLLECT_PLACE_NM|COLLECT_PLACE_CD|DEPTH1_NM|DEPTH1_CD|DEPTH2_NM|DEPTH2_CD|DEPTH3_NM|DEPTH3_CD|DEPTH4_NM|DEPTH4_CD|DEPTH5_NM|DEPTH5_CD|DEPTH6_NM|DEPTH6_CD|DEPTH7_NM|DEPTH7_CD|COLLECT_RANGE|USE_YN|TABLE_NAME|COLUMNS_INFO||
HIS(GTAS Forecasting) 통계|HIS_GTAS|Airborne Metric Tons|01|Animal Products|0101|Animal originated products|010101||01010100|World Total|0101010000|World Total|010101000000|||Y|Y|fct_ihs_gtas_forecasting_annual|||
HIS(GTAS Forecasting) 통계|HIS_GTAS|Airborne Metric Tons|01|Animal Products|0101|Aquatic invertebrates, other|010102||01010200|World Total|0101020000|World Total|010102000000|||Y|Y|fct_ihs_gtas_forecasting_annual|||
HIS(GTAS Forecasting) 통계|HIS_GTAS|Airborne Metric Tons|01|Animal Products|0101|Beef, fresh or chilled|010103||01010300|World Total|0101030000|World Total|010103000000|||Y|Y|fct_ihs_gtas_forecasting_annual|||
HIS(GTAS Forecasting) 통계|HIS_GTAS|Airborne Metric Tons|01|Animal Products|0101|Beef, frozen|010104||01010400|World Total|0101040000|World Total|010104000000|||Y|Y|fct_ihs_gtas_forecasting_annual|||
HIS(GTAS Forecasting) 통계|HIS_GTAS|Airborne Metric Tons|01|Animal Products|0101|Birds' eggs|010105||01010500|World Total|0101050000|World Total|010105000000|||Y|Y|fct_ihs_gtas_forecasting_annual|||
HIS(GTAS Forecasting) 통계|HIS_GTAS|Airborne Metric Tons|01|Animal Products|0101|Butter and cheese|010106||01010600|World Total|0101060000|World Total|010106000000|||Y|Y|fct_ihs_gtas_forecasting_annual|||
HIS(GTAS Forecasting) 통계|HIS_GTAS|Airborne Metric Tons|01|Animal Products|0101|Crustaceans, frozen|010107||01010700|World Total|0101070000|World Total|010107000000|||Y|Y|fct_ihs_gtas_forecasting_annual|||
HIS(GTAS Forecasting) 통계|HIS_GTAS|Airborne Metric Tons|01|Animal Products|0101|Crustaceans, live fresh or chilled|010108||01010800|World Total|0101080000|World Total|010108000000|||Y|Y|fct_ihs_gtas_forecasting_annual|||
HIS(GTAS Forecasting) 통계|HIS_GTAS|Airborne Metric Tons|01|Animal Products|0101|Crustaceans, n.e.s., fresh, chilled or frozen|010109||01010900|World Total|0101090000|World Total|010109000000|||Y|Y|fct_ihs_gtas_forecasting_annual|||
HIS(GTAS Forecasting) 통계|HIS_GTAS|Airborne Metric Tons|01|Animal Products|0101|Dairy produce; birds' eggs; natural honey; edible products of animal origin, n.e.s.|010110||01011000|World Total|0101100000|World Total|010110000000|||Y|Y|fct_ihs_gtas_forecasting_annual|||
HIS(GTAS Forecasting) 통계|HIS_GTAS|Airborne Metric Tons|01|Animal Products|0101|Edible offal of bovine animals, swine, sheep, goats, horses etc., fresh or chilled|010111||01011100|World Total|0101110000|World Total|010111000000|||Y|Y|fct_ihs_gtas_forecasting_annual|||
