CATEGORY_CD|CATEGORY_NM|API_PATH|PARENT_CD|DEPTH_LEVEL|LAST_DEPTH_YN|COLLECTION_CYCLE|COLLECTION_TYPE
03000000000000|S&P Global(IHS)(ECO_NEW)||00000000000000|01|N||
03010000000000|Monetary and financial||03000000000000|02|N||
03010100000000|Interest rate||03010000000000|03|N||
03010101000000|Central bank policy rate||03010100000000|04|Y|M|A
03010102000000|Interest rate, long-term||03010100000000|04|Y|M|A
03010103000000|Interest rate, long-term, differential with the USA||03010100000000|04|Y|M|A
03010104000000|Interest rate, short-term||03010100000000|04|Y|M|A
03010105000000|Interest rate, short-term, differential with the USA||03010100000000|04|Y|M|A
03010106000000|Interest rate, short-term, real||03010100000000|04|Y|M|A
03010107000000|Spread of long over short interest rate||03010100000000|04|Y|M|A
03020000000000|Prices and deflators||03000000000000|02|N||
03020100000000|Consumer prices||03020000000000|03|N||
03020101000000|Consumer price index, aop||03020100000000|04|Y|M|A
03020102000000|Consumer price index, aop, USD||03020100000000|04|Y|M|A
03020103000000|Inflation, CPI, aop||03020100000000|04|Y|M|A
03020104000000|Inflation, CPI, aop, USD||03020100000000|04|Y|M|A
03020200000000|Producer and wholesale prices||03020000000000|03|N||
03020201000000|Inflation, WPI, aop||03020200000000|04|Y|M|A
03020202000000|Inflation, WPI, aop, USD||03020200000000|04|Y|M|A
03020203000000|Wholesale price index||03020200000000|04|Y|M|A
03020204000000|Wholesale price index, USD||03020200000000|04|Y|M|A
03030000000000|Exchange rate||03000000000000|02|N||
03030100000000|Other exchange rate measures||03030000000000|03|N||
03030101000000|Effective exchange rate index, nominal||03030100000000|04|Y|M|A
03030102000000|Real FX index||03030100000000|04|Y|M|A
03030200000000|Exchange rate USD per LC, aop||03030000000000|03|Y|Y,M|A
03030300000000|Exchange rate USD per LC, eop||03030000000000|03|Y|M|A
03040000000000|Population, labor and wages||03000000000000|02|N||
03040100000000|Population||03040000000000|03|N||
03040101000000|Population, total||03040100000000|04|Y|Y|A
03040102000000|Population, age 00-14, UN||03040100000000|04|Y|Y|A
03040103000000|Population, age 15-64, UN||03040100000000|04|Y|Y|A
03040104000000|Population, age 65-, UN||03040100000000|04|Y|Y|A
03040105000000|Population, rural, growth||03040100000000|04|Y|Y|A
03040106000000|Population, urban, growth||03040100000000|04|Y|Y|A
03050000000000|Output and Retail||03000000000000|02|N||
03050100000000|Output||03050000000000|03|N||
03050101000000|Production index, industry||03050100000000|04|Y|M|A
03050102000000|Production index, manufacturing||03050100000000|04|Y|M|A
03060000000000|National income account||03000000000000|02|N||
03060100000000|GDP at market prices||03060000000000|03|N||
03060101000000|GDP, real, USD, harmonized||03060100000000|04|N||
03060101010000|GDP, real, harmonized||03060101000000|05|Y|Y|A
03060101020000|GDP PPP, real, harmonized||03060101000000|05|Y|Y|A
03060101030000|GDP per capita, real, harmonized||03060101000000|05|Y|Y|A
03060102000000|GDP, nominal, USD, harmonized||03060100000000|04|N||
03060102010000|GDP per employee, harmonized||03060102000000|05|Y|Y|A
03060102020000|GDP per capita PPP, harmonized||03060102000000|05|Y|Y|A
03060102030000|GDP per capita, Calendar Year, harmonized||03060102000000|05|Y|Y|A
