CATEGORY_CD|CATEGORY_NM|API_PATH|PARENT_CD|DEPTH_LEVEL|LAST_DEPTH_YN|COLLECTION_CYCLE|COLLECTION_TYPE
04000000000000|S&P Global(IHS)(ECO)||00000000000000|01|N||
04010000000000|Gross Domestic Product||04000000000000|02|N||
04010100000000|Real U.S. Dollars||04010000000000|03|N||
04010101000000|Real GDP (Gross Domestic Product), US$||04010100000000|04|Y|Y|A
04010200000000|Real Local Currency Units||04010000000000|03|N||
04010201000000|Real GDP at Factor Cost: Industry: Manufacturing, lcu||04010200000000|04|Y|Y|A
04010202000000|Real GDP at Factor Cost: Industry: Construction, lcu||04010200000000|04|Y|Y|A
04010203000000|Real Gross Domestic Demand (Absorption), lcu||04010200000000|04|Y|Y|A
04020000000000|Output Indicators||04000000000000|02|N||
04020100000000|Industrial Production||04020000000000|03|N||
04020101000000|Industrial Production Index||04020100000000|04|Y|Y,M|A
