CATEGORY_CD|CATEGORY_NM|API_PATH|PARENT_CD|DEPTH_LEVEL|LAST_DEPTH_YN|COLLECTION_CYCLE|COLLECTION_TYPE
11000000000000|유엔 무역 개발 기구 unctadstat(UNCTAD)||00000000000000|01|Y|Q|A
11010000000000|항만 정기선 해운 연결성 지수||11000000000000|02|Y|Q|A
11010100000000|Albania||11010000000000|03|Y|Q|A
11010101000000|Durres||11010100000000|04|Y|Q|A
11010200000000|Algeria||11010000000000|03|Y|Q|A
11010201000000|Algiers||11010200000000|04|Y|Q|A
11010202000000|Annaba||11010200000000|04|Y|Q|A
11010203000000|Arzew||11010200000000|04|Y|Q|A
11010204000000|Bejaia||11010200000000|04|Y|Q|A
11010205000000|Djen Djen||11010200000000|04|Y|Q|A
11010206000000|Ghazaouet||11010200000000|04|Y|Q|A
11010207000000|Mostaganem||11010200000000|04|Y|Q|A
11010208000000|Oran||11010200000000|04|Y|Q|A
11010209000000|Skikda||11010200000000|04|Y|Q|A
11010300000000|American Samoa||11010000000000|03|Y|Q|A
11010301000000|Pago Pago||11010300000000|04|Y|Q|A
11010400000000|Angola||11010000000000|03|Y|Q|A
11010401000000|Cabinda||11010400000000|04|Y|Q|A
11010402000000|Lobito||11010400000000|04|Y|Q|A
11010403000000|Luanda||11010400000000|04|Y|Q|A
11010404000000|Malongo||11010400000000|04|Y|Q|A
11010405000000|Namibe||11010400000000|04|Y|Q|A
11010406000000|Porto Amboim||11010400000000|04|Y|Q|A
11010407000000|Soyo||11010400000000|04|Y|Q|A
11010500000000|Anguilla||11010000000000|03|Y|Q|A
11010501000000|Anguilla||11010500000000|04|Y|Q|A
11010600000000|Antigua and Barbuda||11010000000000|03|Y|Q|A
11010601000000|St John's (AG)||11010600000000|04|Y|Q|A
11010700000000|Argentina||11010000000000|03|Y|Q|A
11010701000000|Bahia Blanca||11010700000000|04|Y|Q|A
11010702000000|Buenos Aires||11010700000000|04|Y|Q|A
11010703000000|La Plata||11010700000000|04|Y|Q|A
11010704000000|Mar del Plata||11010700000000|04|Y|Q|A
11010705000000|Puerto Deseado||11010700000000|04|Y|Q|A
11010706000000|Puerto Madryn||11010700000000|04|Y|Q|A
11010707000000|Rosario||11010700000000|04|Y|Q|A
11010708000000|San Antonio Este||11010700000000|04|Y|Q|A
11010709000000|Ushuaia||11010700000000|04|Y|Q|A
11010710000000|Zarate||11010700000000|04|Y|Q|A
11010800000000|Aruba||11010000000000|03|Y|Q|A
11010801000000|Barcadera||11010800000000|04|Y|Q|A
11010802000000|Oranjestad||11010800000000|04|Y|Q|A
11010900000000|Australia||11010000000000|03|Y|Q|A
11010901000000|Adelaide||11010900000000|04|Y|Q|A
11010902000000|Bell Bay||11010900000000|04|Y|Q|A
11010903000000|Brisbane||11010900000000|04|Y|Q|A
11010904000000|Broome||11010900000000|04|Y|Q|A
11010905000000|Burnie||11010900000000|04|Y|Q|A
11010906000000|Cairns||11010900000000|04|Y|Q|A
11010907000000|Dampier||11010900000000|04|Y|Q|A
11010908000000|Darwin||11010900000000|04|Y|Q|A
11010909000000|Devonport||11010900000000|04|Y|Q|A
11010910000000|Esperance||11010900000000|04|Y|Q|A
11010911000000|Fremantle||11010900000000|04|Y|Q|A
11010912000000|Geelong||11010900000000|04|Y|Q|A
11010913000000|Gladstone||11010900000000|04|Y|Q|A
11010914000000|Hobart||11010900000000|04|Y|Q|A
11010915000000|Mackay||11010900000000|04|Y|Q|A
11010916000000|Melbourne||11010900000000|04|Y|Q|A
11010917000000|Newcastle||11010900000000|04|Y|Q|A
11010918000000|Port Alma||11010900000000|04|Y|Q|A
11010919000000|Port Botany||11010900000000|04|Y|Q|A
11010920000000|Port Hedland||11010900000000|04|Y|Q|A
11010921000000|Port Kembla||11010900000000|04|Y|Q|A
11010922000000|Sydney||11010900000000|04|Y|Q|A
11010923000000|Townsville||11010900000000|04|Y|Q|A
11010924000000|Weipa||11010900000000|04|Y|Q|A
11010925000000|Wyndham||11010900000000|04|Y|Q|A
11011000000000|Bahamas||11010000000000|03|Y|Q|A
11011001000000|Andros Island||11011000000000|04|Y|Q|A
11011002000000|Eleuthera Island||11011000000000|04|Y|Q|A
11011003000000|Freeport (BS)||11011000000000|04|Y|Q|A
11011004000000|Marsh Harbour||11011000000000|04|Y|Q|A
11011005000000|Nassau||11011000000000|04|Y|Q|A
11011100000000|Bahrain||11010000000000|03|Y|Q|A
11011101000000|Bahrain||11011100000000|04|Y|Q|A
11011200000000|Bangladesh||11010000000000|03|Y|Q|A
11011201000000|Chalna||11011200000000|04|Y|Q|A
11011202000000|Chittagong||11011200000000|04|Y|Q|A
11011203000000|Mongla||11011200000000|04|Y|Q|A
11011300000000|Barbados||11010000000000|03|Y|Q|A
11011301000000|Bridgetown||11011300000000|04|Y|Q|A
11011400000000|Belgium||11010000000000|03|Y|Q|A
11011401000000|Antwerp||11011400000000|04|Y|Q|A
11011402000000|Ghent||11011400000000|04|Y|Q|A
11011403000000|Ostend||11011400000000|04|Y|Q|A
11011404000000|Zeebrugge||11011400000000|04|Y|Q|A
11011500000000|Belize||11010000000000|03|Y|Q|A
11011501000000|Belize City||11011500000000|04|Y|Q|A
11011502000000|Big Creek||11011500000000|04|Y|Q|A
11011600000000|Benin||11010000000000|03|Y|Q|A
11011601000000|Cotonou||11011600000000|04|Y|Q|A
11011700000000|Bermuda||11010000000000|03|Y|Q|A
11011701000000|Hamilton (BM)||11011700000000|04|Y|Q|A
11011800000000|Bonaire||11010000000000|03|Y|Q|A
11011801000000|Sint Eustatius and Saba, Kralendijk||11011800000000|04|Y|Q|A
11011802000000|Sint Eustatius and Saba, St Eustatius||11011800000000|04|Y|Q|A
11011900000000|Brazil||11010000000000|03|Y|Q|A
11011901000000|Belem||11011900000000|04|Y|Q|A
11011902000000|Fazendinha||11011900000000|04|Y|Q|A
11011903000000|Fortaleza||11011900000000|04|Y|Q|A
11011904000000|Ilheus||11011900000000|04|Y|Q|A
11011905000000|Imbituba||11011900000000|04|Y|Q|A
11011906000000|Itajai||11011900000000|04|Y|Q|A
11011907000000|Itapoa||11011900000000|04|Y|Q|A
11011908000000|Itaqui||11011900000000|04|Y|Q|A
11011909000000|Macapa||11011900000000|04|Y|Q|A
11011910000000|Maceio||11011900000000|04|Y|Q|A
11011911000000|Manaus||11011900000000|04|Y|Q|A
11011912000000|Natal||11011900000000|04|Y|Q|A
11011913000000|Navegantes||11011900000000|04|Y|Q|A
11011914000000|Paranagua||11011900000000|04|Y|Q|A
11011915000000|Pecem||11011900000000|04|Y|Q|A
