CATEGORY_CD|CATEGORY_NM|API_PATH|PARENT_CD|DEPTH_LEVEL|LAST_DEPTH_YN|COLLECTION_CYCLE|COLLECTION_TYPE
07000000000000|한국석유공사 페트로넷(KNOC)||00000000000000|01|N||
07010000000000|석유수급총괄||07000000000000|02|N||
07010100000000|원유수입||07010000000000|03|Y|M|A
07010200000000|정제처리원유||07010000000000|03|Y|M|A
07010300000000|제품공급||07010000000000|03|N||
07010301000000|생산||07010300000000|04|Y|Y,M|A
07010302000000|수입||07010300000000|04|Y|M|A
07010400000000|제품수요||07010000000000|03|N||
07010401000000|내수||07010400000000|04|Y|M|A
07010402000000|벙커링||07010400000000|04|Y|M|A
07010403000000|수출||07010400000000|04|Y|M|A
07010500000000|재고||07010000000000|03|N||
07010501000000|원유||07010500000000|04|Y|M|A
07010502000000|원유지속일 (단위:일)||07010500000000|04|Y|M|A
07010503000000|제품||07010500000000|04|Y|M|A
07010504000000|제품지속일 (단위:일)||07010500000000|04|Y|M|A
07020000000000|석유제품생산||07000000000000|02|N||
07020100000000|휘발유||07020000000000|03|Y|M|A
07020200000000|등유||07020000000000|03|Y|M|A
07020300000000|경유||07020000000000|03|Y|M|A
07020400000000|경질중유||07020000000000|03|Y|M|A
07020500000000|중유||07020000000000|03|Y|M|A
07020600000000|벙커C유||07020000000000|03|Y|M|A
07020700000000|납사||07020000000000|03|Y|M|A
07020800000000|용제||07020000000000|03|Y|M|A
07020900000000|항공유||07020000000000|03|Y|M|A
07021000000000|LPG||07020000000000|03|Y|M|A
07021100000000|아스팔트||07020000000000|03|Y|M|A
07021200000000|윤활유||07020000000000|03|Y|M|A
07021300000000|기타제품||07020000000000|03|Y|M|A
07021400000000|부생연료유||07020000000000|03|Y|M|A
07030000000000|제품수입(제품별)||07000000000000|02|N||
07030100000000|휘발유||07030000000000|03|N||
07030101000000|물량||07030100000000|04|Y|Y,M|A
07030102000000|금액||07030100000000|04|Y|M|A
07030103000000|단가||07030100000000|04|Y|M|A
07030200000000|등유||07030000000000|03|N||
07030201000000|물량||07030200000000|04|Y|M|A
07030202000000|금액||07030200000000|04|Y|M|A
07030203000000|단가||07030200000000|04|Y|M|A
07030300000000|벙커C유||07030000000000|03|N||
07030301000000|물량||07030300000000|04|Y|M|A
07030302000000|금액||07030300000000|04|Y|M|A
07030303000000|단가||07030300000000|04|Y|M|A
07030400000000|납사||07030000000000|03|N||
07030401000000|물량||07030400000000|04|Y|M|A
07030402000000|금액||07030400000000|04|Y|M|A
07030403000000|단가||07030400000000|04|Y|M|A
07030500000000|용제||07030000000000|03|N||
07030501000000|물량||07030500000000|04|Y|M|A
07030502000000|금액||07030500000000|04|Y|M|A
07030503000000|단가||07030500000000|04|Y|M|A
07030600000000|항공유||07030000000000|03|N||
07030601000000|물량||07030600000000|04|Y|M|A
07030602000000|금액||07030600000000|04|Y|M|A
07030603000000|단가||07030600000000|04|Y|M|A
07030700000000|LPG||07030000000000|03|N||
07030701000000|물량||07030700000000|04|Y|M|A
07030702000000|금액||07030700000000|04|Y|M|A
07030703000000|단가||07030700000000|04|Y|M|A
07030800000000|아스팔트||07030000000000|03|N||
07030801000000|물량||07030800000000|04|Y|M|A
07030802000000|금액||07030800000000|04|Y|M|A
07030803000000|단가||07030800000000|04|Y|M|A
