CATEGORY_CD|CATEGORY_NM|API_PATH|PARENT_CD|DEPTH_LEVEL|LAST_DEPTH_YN|COLLECTION_CYCLE|COLLECTION_TYPE
10000000000000|한국석유화학협회(KCIA)||00000000000000|01|N||
10010000000000|기초유분||10000000000000|02|N||
10010100000000|에틸렌||10010000000000|03|N||
10010101000000|생산(출하)||10010100000000|04|Y|Y|A
10010102000000|수출||10010100000000|04|Y|Y|A
10010103000000|수입||10010100000000|04|Y|Y|A
10010104000000|국내수요||10010100000000|04|Y|Y|A
10010200000000|프로필렌||10010000000000|03|N||
10010201000000|생산(출하)||10010200000000|04|Y|Y|A
10010202000000|수출||10010200000000|04|Y|Y|A
10010203000000|수입||10010200000000|04|Y|Y|A
10010204000000|국내수요||10010200000000|04|Y|Y|A
10010300000000|부타디엔||10010000000000|03|N||
10010301000000|생산(출하)||10010300000000|04|Y|Y|A
10010302000000|수출||10010300000000|04|Y|Y|A
10010303000000|수입||10010300000000|04|Y|Y|A
10010304000000|국내수요||10010300000000|04|Y|Y|A
10010400000000|벤젠||10010000000000|03|N||
10010401000000|생산(출하)||10010400000000|04|Y|Y|A
10010402000000|수출||10010400000000|04|Y|Y|A
10010403000000|수입||10010400000000|04|Y|Y|A
10010404000000|국내수요||10010400000000|04|Y|Y|A
10010500000000|톨루엔||10010000000000|03|N||
10010501000000|생산(출하)||10010500000000|04|Y|Y|A
10010502000000|수출||10010500000000|04|Y|Y|A
10010503000000|수입||10010500000000|04|Y|Y|A
10010504000000|국내수요||10010500000000|04|Y|Y|A
10010600000000|자일렌||10010000000000|03|N||
10010601000000|생산(출하)||10010600000000|04|Y|Y|A
10010602000000|수출||10010600000000|04|Y|Y|A
10010603000000|수입||10010600000000|04|Y|Y|A
10010604000000|국내수요||10010600000000|04|Y|Y|A
10020000000000|중간원료||10000000000000|02|N||
10020100000000|SM||10020000000000|03|N||
10020101000000|생산(출하)||10020100000000|04|Y|Y|A
10020102000000|수출||10020100000000|04|Y|Y|A
10020103000000|수입||10020100000000|04|Y|Y|A
10020104000000|국내수요||10020100000000|04|Y|Y|A
10020200000000|P-X||10020000000000|03|N||
10020201000000|생산(출하)||10020200000000|04|Y|Y|A
10020202000000|수출||10020200000000|04|Y|Y|A
10020203000000|수입||10020200000000|04|Y|Y|A
10020204000000|국내수요||10020200000000|04|Y|Y|A
10020300000000|O-X||10020000000000|03|N||
10020301000000|생산(출하)||10020300000000|04|Y|Y|A
10020302000000|수출||10020300000000|04|Y|Y|A
10020303000000|수입||10020300000000|04|Y|Y|A
10020304000000|국내수요||10020300000000|04|Y|Y|A
10020400000000|C-H||10020000000000|03|N||
10020401000000|생산(출하)||10020400000000|04|Y|Y|A
10020402000000|수출||10020400000000|04|Y|Y|A
10020403000000|수입||10020400000000|04|Y|Y|A
10020404000000|국내수요||10020400000000|04|Y|Y|A
10020500000000|EDC||10020000000000|03|N||
10020501000000|생산(출하)||10020500000000|04|Y|Y|A
10020502000000|수출||10020500000000|04|Y|Y|A
10020503000000|수입||10020500000000|04|Y|Y|A
10020504000000|국내수요||10020500000000|04|Y|Y|A
10020600000000|VCM||10020000000000|03|N||
10020601000000|생산(출하)||10020600000000|04|Y|Y|A
10020602000000|수출||10020600000000|04|Y|Y|A
10020603000000|수입||10020600000000|04|Y|Y|A
10020604000000|국내수요||10020600000000|04|Y|Y|A
10030000000000|합성수지||10000000000000|02|N||
10030100000000|LDPE||10030000000000|03|N||
10030101000000|생산(출하)||10030100000000|04|Y|Y|A
10030102000000|수출||10030100000000|04|Y|Y|A
10030103000000|수입||10030100000000|04|Y|Y|A
10030104000000|국내수요||10030100000000|04|Y|Y|A
10030200000000|L-LDPE||10030000000000|03|N||
10030201000000|생산(출하)||10030200000000|04|Y|Y|A
10030202000000|수출||10030200000000|04|Y|Y|A
10030203000000|수입||10030200000000|04|Y|Y|A
10030204000000|국내수요||10030200000000|04|Y|Y|A
10030300000000|EVA||10030000000000|03|N||
10030301000000|생산(출하)||10030300000000|04|Y|Y|A
10030302000000|수출||10030300000000|04|Y|Y|A
10030303000000|수입||10030300000000|04|Y|Y|A
10030304000000|국내수요||10030300000000|04|Y|Y|A
10030400000000|HDPE||10030000000000|03|N||
10030401000000|생산(출하)||10030400000000|04|Y|Y|A
10030402000000|수출||10030400000000|04|Y|Y|A
10030403000000|수입||10030400000000|04|Y|Y|A
10030404000000|국내수요||10030400000000|04|Y|Y|A
10030500000000|PP||10030000000000|03|N||
10030501000000|생산(출하)||10030500000000|04|Y|Y|A
10030502000000|수출||10030500000000|04|Y|Y|A
10030503000000|수입||10030500000000|04|Y|Y|A
10030504000000|국내수요||10030500000000|04|Y|Y|A
10030600000000|PS||10030000000000|03|N||
10030601000000|생산(출하)||10030600000000|04|Y|Y|A
10030602000000|수출||10030600000000|04|Y|Y|A
10030603000000|수입||10030600000000|04|Y|Y|A
10030604000000|국내수요||10030600000000|04|Y|Y|A
10030700000000|EPS||10030000000000|03|N||
10030701000000|생산(출하)||10030700000000|04|Y|Y|A
10030702000000|수출||10030700000000|04|Y|Y|A
10030703000000|수입||10030700000000|04|Y|Y|A
10030704000000|국내수요||10030700000000|04|Y|Y|A
10030800000000|ABS||10030000000000|03|N||
10030801000000|생산(출하)||10030800000000|04|Y|Y|A
10030802000000|수출||10030800000000|04|Y|Y|A
10030803000000|수입||10030800000000|04|Y|Y|A
10030804000000|국내수요||10030800000000|04|Y|Y|A
10030900000000|PVC||10030000000000|03|N||
10030901000000|생산(출하)||10030900000000|04|Y|Y|A
10030902000000|수출||10030900000000|04|Y|Y|A
10030903000000|수입||10030900000000|04|Y|Y|A
10030904000000|국내수요||10030900000000|04|Y|Y|A
10031000000000|PC||10030000000000|03|N||
10031001000000|생산(출하)||10031000000000|04|Y|Y|A
10031002000000|수출||10031000000000|04|Y|Y|A
10031003000000|수입||10031000000000|04|Y|Y|A
10031004000000|국내수요||10031000000000|04|Y|Y|A
10040000000000|합섬원료||10000000000000|02|N||
10040100000000|TPA||10040000000000|03|N||
10040101000000|생산(출하)||10040100000000|04|Y|Y|A
10040102000000|수출||10040100000000|04|Y|Y|A
10040103000000|수입||10040100000000|04|Y|Y|A
10040104000000|국내수요||10040100000000|04|Y|Y|A
10040200000000|EG||10040000000000|03|N||
10040201000000|생산(출하)||10040200000000|04|Y|Y|A
10040202000000|수출||10040200000000|04|Y|Y|A
10040203000000|수입||10040200000000|04|Y|Y|A
10040204000000|국내수요||10040200000000|04|Y|Y|A
10040300000000|AN||10040000000000|03|N||
10040301000000|생산(출하)||10040300000000|04|Y|Y|A
10040302000000|수출||10040300000000|04|Y|Y|A
10040303000000|수입||10040300000000|04|Y|Y|A
10040304000000|국내수요||10040300000000|04|Y|Y|A
10040400000000|CPLM||10040000000000|03|N||
10040401000000|생산(출하)||10040400000000|04|Y|Y|A
10040402000000|수출||10040400000000|04|Y|Y|A
10040403000000|수입||10040400000000|04|Y|Y|A
10040404000000|국내수요||10040400000000|04|Y|Y|A
10040500000000|DMT||10040000000000|03|N||
10040501000000|생산(출하)||10040500000000|04|Y|Y|A
10040502000000|수출||10040500000000|04|Y|Y|A
10040503000000|수입||10040500000000|04|Y|Y|A
10040504000000|국내수요||10040500000000|04|Y|Y|A
10050000000000|합성고무||10000000000000|02|N||
10050100000000|SBR||10050000000000|03|N||
10050101000000|생산(출하)||10050100000000|04|Y|Y|A
10050102000000|수출||10050100000000|04|Y|Y|A
10050103000000|수입||10050100000000|04|Y|Y|A
10050104000000|국내수요||10050100000000|04|Y|Y|A
10050200000000|BR||10050000000000|03|N||
10050201000000|생산(출하)||10050200000000|04|Y|Y|A
10050202000000|수출||10050200000000|04|Y|Y|A
10050203000000|수입||10050200000000|04|Y|Y|A
10050204000000|국내수요||10050200000000|04|Y|Y|A
10060000000000|기타제품||10000000000000|02|N||
10060100000000|초산||10060000000000|03|N||
10060101000000|생산(출하)||10060100000000|04|Y|Y|A
10060102000000|수출||10060100000000|04|Y|Y|A
10060103000000|수입||10060100000000|04|Y|Y|A
10060104000000|국내수요||10060100000000|04|Y|Y|A
10060200000000|카본블랙||10060000000000|03|N||
10060201000000|생산(출하)||10060200000000|04|Y|Y|A
10060202000000|수출||10060200000000|04|Y|Y|A
10060203000000|수입||10060200000000|04|Y|Y|A
10060204000000|국내수요||10060200000000|04|Y|Y|A
10060300000000|페놀||10060000000000|03|N||
10060301000000|생산(출하)||10060300000000|04|Y|Y|A
10060302000000|수출||10060300000000|04|Y|Y|A
10060303000000|수입||10060300000000|04|Y|Y|A
10060304000000|국내수요||10060300000000|04|Y|Y|A
10060400000000|아세톤||10060000000000|03|N||
10060401000000|생산(출하)||10060400000000|04|Y|Y|A
10060402000000|수출||10060400000000|04|Y|Y|A
10060403000000|수입||10060400000000|04|Y|Y|A
10060404000000|국내수요||10060400000000|04|Y|Y|A
10060500000000|옥탄올||10060000000000|03|N||
10060501000000|생산(출하)||10060500000000|04|Y|Y|A
10060502000000|수출||10060500000000|04|Y|Y|A
10060503000000|수입||10060500000000|04|Y|Y|A
10060504000000|국내수요||10060500000000|04|Y|Y|A
10060600000000|부탄올||10060000000000|03|N||
10060601000000|생산(출하)||10060600000000|04|Y|Y|A
10060602000000|수출||10060600000000|04|Y|Y|A
10060603000000|수입||10060600000000|04|Y|Y|A
10060604000000|국내수요||10060600000000|04|Y|Y|A
10060700000000|초산에틸||10060000000000|03|N||
10060701000000|생산(출하)||10060700000000|04|Y|Y|A
10060702000000|수출||10060700000000|04|Y|Y|A
10060703000000|수입||10060700000000|04|Y|Y|A
10060704000000|국내수요||10060700000000|04|Y|Y|A
10060800000000|에탄올||10060000000000|03|N||
10060801000000|생산(출하)||10060800000000|04|Y|Y|A
10060802000000|수출||10060800000000|04|Y|Y|A
10060803000000|수입||10060800000000|04|Y|Y|A
10060804000000|국내수요||10060800000000|04|Y|Y|A
10060900000000|BPA||10060000000000|03|N||
10060901000000|생산(출하)||10060900000000|04|Y|Y|A
10060902000000|수출||10060900000000|04|Y|Y|A
10060903000000|수입||10060900000000|04|Y|Y|A
10060904000000|국내수요||10060900000000|04|Y|Y|A
