CATEGORY_CD|CATEGORY_NM|API_PATH|PARENT_CD|DEPTH_LEVEL|LAST_DEPTH_YN|COLLECTION_CYCLE|COLLECTION_TYPE
08000000000000|한국중고자동차수출조합(KUCEA)||00000000000000|01|N||
08010000000000|중고차 수출 현황 데이터||08000000000000|02|N||
08010100000000|승용||08010000000000|03|N||
08010101000000|금액||08010100000000|04|Y|M|C
08010102000000|수량||08010100000000|04|Y|M|C
08010200000000|승합||08010000000000|03|N||
08010201000000|금액||08010200000000|04|Y|M|C
08010202000000|수량||08010200000000|04|Y|M|C
08010300000000|승합||08010000000000|03|N||
08010301000000|금액||08010300000000|04|Y|M|C
08010302000000|수량||08010300000000|04|Y|M|C
08010400000000|트렉터||08010000000000|03|N||
08010401000000|금액||08010400000000|04|Y|M|C
08010402000000|수량||08010400000000|04|Y|M|C
