CATEGORY_CD|CATEGORY_NM|API_PATH|PARENT_CD|DEPTH_LEVEL|LAST_DEPTH_YN|COLLECTION_CYCLE|COLLECTION_TYPE
14000000000000|한국철강협회(KOSA)(TMS_SDS_STTS)||00000000000000|01|N||
14010000000000|조강||14000000000000|02|N||
14010100000000|당년실적||14010000000000|03|N||
14010101000000|계||14010100000000|04|Y|Y,M|C
14010102000000|전로강||14010100000000|04|N||
14010102010000|집계||14010102000000|05|Y|Y,M|C
14010102020000|보통강||14010102000000|05|Y|Y,M|C
14010102030000|특수강||14010102000000|05|Y|Y,M|C
14010103000000|전기로강||14010100000000|04|N||
14010103010000|집계||14010103000000|05|Y|Y,M|C
14010103020000|보통강||14010103000000|05|Y|Y,M|C
14010103030000|특수강||14010103000000|05|Y|Y,M|C
14020000000000|철스크랩(용도별)||14000000000000|02|N||
14020100000000|국내구매||14020000000000|03|Y|Y,M|C
14020200000000|수입구매||14020000000000|03|Y|Y,M|C
14020300000000|자가발생구매||14020000000000|03|Y|Y,M|C
14020400000000|자가소비||14020000000000|03|Y|Y,M|C
14020500000000|구매집계||14020000000000|03|Y|Y,M|C
14020600000000|국내판매||14020000000000|03|Y|Y,M|C
14020700000000|기타판매||14020000000000|03|Y|Y,M|C
14020800000000|판매집계||14020000000000|03|Y|Y,M|C
14020900000000|당월재고||14020000000000|03|Y|Y,M|C
14021000000000|전월재고||14020000000000|03|Y|Y,M|C
