CATEGORY_CD|CATEGORY_NM|API_PATH|PARENT_CD|DEPTH_LEVEL|LAST_DEPTH_YN|COLLECTION_CYCLE|COLLECTION_TYPE
09000000000000|한국해운협(KSA)||00000000000000|01|N||
09010000000000|해상운임지수 데이터||09000000000000|02|N||
09010100000000|BDI||09010000000000|03|Y|M|C
09010200000000|KCCI||09010000000000|03|Y|M|C
09010300000000|SCFI||09010000000000|03|Y|M|C
09010400000000|SCFI(USWC)||09010000000000|03|Y|M|C
09010500000000|SCFI(Europe)||09010000000000|03|Y|M|C
09010600000000|SCFI(USEC)||09010000000000|03|Y|M|C
09010700000000|HRCI||09010000000000|03|Y|M|C
09010800000000|WS||09010000000000|03|Y|M|C
09010900000000|HSFO||09010000000000|03|Y|M|C
09011000000000|VLSFO||09010000000000|03|Y|M|C
